,Title,Lyrics
0,In The Flesh?,"



(We came in)

So ya thought ya might like to go to the show
To feel the warm thrill of confusion
That space cadet glow

Tell me is something eluding you sunshine?
Is this not what you expected to see?

If you want to find out what's behind these cold eyes
You'll just have to claw your way through this disguise


"
1,The Thin Ice,"



Momma loves her baby
And Daddy loves you too
And the sea may look warm to you, babe
And the sky may look blue

Ooh, babe
Ooh, baby blue
Ooh, babe

If you should go skating
On the thin ice of modern life
Dragging behind you the silent reproach
Of a million tear-stained eyes

Don't be surprised,
When a crack in the ice
Appears under your feet
You slip out of your depth and out of your mind
With your fear flowing out behind you
As you claw the thin ice


"
2,Another Brick In The Wall (Part I),"



Daddy's flown across the ocean
Leaving just a memory
A snap shot in the family album
Daddy what else did you leave for me?

Daddy what d'ya leave behind for me?

All in all it was just a brick in the wall
All in all it was all just bricks in the wall


"
3,The Happiest Days Of Our Lives,"



You! Yes, you! Stand still, laddy!

When we grew up and went to school
There were certain teachers who
Would hurt the children any way they could

By pouring their derision
Upon anything we did
Exposing every weakness
However carefully hidden by the kids

But in the town it was well known
When they got home at night,
Their fat and psychopathic wives
Would thrash them within inches of their lives


"
4,Another Brick In The Wall (Part II),"



We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teacher, leave them kids alone

Hey, teacher, leave them kids alone

All in all it's just another brick in the wall
All in all you're just another brick in the wall

[Chorus by pupils from the Fourth Form Music Class Islington Green School, London]

We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teachers, leave them kids alone

Hey, teacher, leave us kids alone

All in all you're just another brick in the wall
All in all you're just another brick in the wall

[Spoken:]
Wrong! Do it again!
Wrong! Do it again!
If you don't eat your meat, you can't have any pudding!
How can you have any pudding if you don't eat your meat?!
You! Yes, you, behind the bike sheds, stand still, laddy!


"
5,Mother,"



Mother, do you think they'll drop the bomb?
Mother, do you think they'll like this song?
Mother, do you think they'll try to break my balls?
Ooh, aah, mother, should I build the wall?

Mother, should I run for president?
Mother, should I trust the government?
Mother, will they put me in the firing line?
Ooh, aah, is it just a waste of time?

Hush now, baby, baby, don't you cry
Mama's gonna make all of your nightmares come true
Mama's gonna put all of her fears into you
Mama's gonna keep you right here under her wing
She won't let you fly but she might let you sing
Mama's gonna keep baby cozy and warm

Ooh, babe, ooh, babe, ooh, babe
Of course mama's gonna help build the wall

Mother, do you think she's good enough for me?
Mother, do you think she's dangerous to me?
Mother, will she tear your little boy apart?
Ooh, aah, mother, will she break my heart?

Hush now, baby, baby, don't you cry
Mama's gonna check out all your girlfriends for you
Mama won't let anyone dirty get through
Mama's gonna wait up 'til you get in
Mama will always find out where you've been
Mamma's gonna keep baby healthy and clean

Ooh, babe, ooh, babe, ooh, babe
You'll always be a baby to me

Mother, did it need to be so high?


"
6,Goodbye Blue Sky,"



[A child's voice:]
Look, Mummy. There's an airplane up in the sky.

Did, did, did, did you see the frightened ones?
Did, did, did, did you hear the falling bombs?
Did, did, did, did you ever wonder
Why we had to run for shelter
When the promise of a brave new world
Unfurled beneath a clear blue sky?

Did, did, did, did you see the frightened ones?
Did, did, did, did you hear the falling bombs?
The flames are all long gone
But the pain lingers on

Goodbye blue sky
Goodbye blue sky
Goodbye
Goodbye


"
7,Empty Spaces,"



[backwards message:]
Hello, Luka [hunters]... Congratulations. You have just discovered the secret message. Please send your answer to Old Pink, care of the Funny Farm, Chalfont...
Roger! Carolyne's on the phone!
Okay

What shall we use
To fill the empty spaces
Where we used to talk?
How shall I fill
The final places?
How should I complete the wall


"
8,Young Lust,"



I am just a new boy 
A stranger in this town 
Where are all the good times 
Who's gonna show this stranger around? 
Ooooooooh I need a dirty woman 
Ooooooooh I need a dirty girl 
Will some woman in this desert land 
Make me feel like a real man 
Take this rock and roll refugee 
Oooh babe set me free 

Ooooooooh I need a dirty woman 
Ooooooooh I need a dirty girl. 
Ooooooooh I need a dirty woman 
Ooooooooh I need a dirty girl.

[Spoken:]
Hello?
Yes, a collect call for Mrs. Floyd from Mr. Floyd will you accept the charges from United States?
Oh, he hung up!
That's your residence, right?
I wonder why he hung up?
Is there supposed to be someone else there besides your wife there to answer?
Hello?
This is United States calling, are we reaching-
See he keeps hanging up, and it's a man answering


"
9,One Of My Turns,"



""Oh my God! What a fabulous room! Are all these your guitars?""
[Film in background:] (""I'm sorry sir, I didn't mean to startle you!"")
""God! This place is bigger than our apartment!""
(""Let me know when you're entering a room."")
(""Yes, sir!"")
""Uh, can I get a drink of water?""
(""I was wondering about dinner, sir.)
""You want some, huh?""
(""Yes?"")
(""When do you and your guests want to dine? I have to inform the kitchen staff."")
""Oh wow, look at this tub? Wanna take a bath?""
(""Yes, I'm aware of your duties Dobbs."")
(""Yes, sir."")
(I'll have to find out from Mrs. Bancroft what time she wants to eat. As for her maid, needless to say, she can have her meal with the kitchen help.)
""What are you watching?""
(""Very good, sir. If you'll just let me know as soon as you can when you and Mrs Bancroft want to eat."")
(""Mrs. Bancroft will be dining alone."")
""Hello?""
(""Why? I don't understand, sir."")
(""I won't be staying for dinner."")
""Are you feeling okay?...""
(""I'm surprised to hear that, sir, since you just arrived."")
(""Yes, I'm a little surprised about it myself."")

Day after day, love turns grey
Like the skin of a dying man
Night after night, we pretend it's all right
But I have grown older and
You have grown colder
And nothing is very much fun any more
And I can feel one of my turns coming on
I feel cold as a razor blade
Tight as a tourniquet
Dry as a funeral drum

Run to the bedroom
In the suitcase on the left
You'll find my favourite axe
Don't look so frightened
This is just a passing phase
One of my bad days
Would you like to watch T.V.?
Or get between the sheets?
Or contemplate the silent freeway?
Would you like something to eat?
Would you like to learn to fly?
Would you?
Would you like to see me try?

Would you like to call the cops?
Do you think it's time I stopped?
Why are you running away?


"
