,Title,Lyrics
0,Ain't No Fun (Waiting Round to be a Millionaire) ,"The following is a true story
Only the names have been changed to protect the guilty

Well, I left my job in my home town and headed for the smoke 
Got a rock 'n' roll band and a fast right hand 
Gonna get to the top 
Nothings gonna stop us, no, nothing

So if you've got the money, we've got the sound 
You put it up, we'll put it down 
If you've got the dollar, we've got the song 
Just wanna boogie woogie all night long, yeah, boogie 

I got holes in my shoes, I got holes in my teeth
I got holes in my socks, I can't get no sleep
I'm trying to make a million

And I got patches on the patches on my old blue jeans
Well, they used to be blue
When they used to be new, when they used to be clean

But I've got a mumma who's a hummer just keeping me alive
While I'm in the band doing drinking with the boys
She's working 9 to 5
She knows her place that woman

Just you wait
One of these days see me driving round town
In my Rock 'n' Rolls Royce with the sun roof down
My bottle of booze, no summer time blues
Shouting out 'look at me' in my rock 'n' roll voice

No it ain't no fun, yeah, waiting round to be a millionaire
No it ain't no fun, waiting round to be a millionaire

Do you believe me?
It ain't no fun, no, waiting round to be a millionaire
It ain't no fun, I don't care what they say
Waiting round to be a millionaire

Drive a Rolls Royce car
No it ain't no fun and you know it
Waiting round to be a millionaire
No, no, no, no, no, no, no, no, ain't no fun
Waiting round to be a millionaire

Got a million dollar scream
But it ain't no fun (ain't no fun), oh no
No it ain't no fun (ain't no fun), that's what I said
But it ain't no fun (ain't no fun) and I wanna be rich
No it ain't no fun (ain't no fun), ain't no fun digging this bitch

Ain't no fun waiting round to be a millionaire, you better believe me
Ain't no fun waiting round to be a millionaire
Ain't no fun waiting round to be a millionaire
No, it ain't no fun waiting round to be a millionaire
No, it ain't no fun (ain't no fun) no, it ain't no fun (ain't no fun)
I ain't having no fun (ain't no fun), no,  it ain't no fun (ain't no fun)
Ain't no fun waiting round to be a millionaire, no no
Ain't no fun waiting round to be a millionaire
Ain't no fun waiting round to be a millionaire
No, it ain't no fun waiting round to be a millionaire

Hey Hello, Howard, how you doin'?
Next door neighbour
Oh yeah, get your fuckin' jumbo jet off my airport

(Ain't no fun, ain't no fun)
No it ain't no fun (ain't no fun)
Hey, it ain't no fun (ain't no fun)
No, it ain't no fun (ain't no fun)
Ain't no fun waiting round to be a millionaire
Ain't no fun waiting round to be a millionaire
No, it ain't no fun, no, it ain't no fun, ain't no fun
(Ain't no fun waiting round to be a millionaire) no, no, no
(Ain't no fun, ain't no fun, ain't no fun)"
1,All Screwed Up ,"Young - Young) 
Get ready 
You think your kinda tough 
You're walkin' kinda rough 
When you want any more 
You go fast wo' wo' wo' 
Things go tough 
And you strut your stuff 
And I want your thing 
Then you're out of luck 
Yes you are 

It's all screwed up 
All screwed up 
It's all screwed up 
All screwed up 

Take you out to kick some butt 
Work you over screw you nuts 
And when you can't take no more 
Then she push you out that door 
And things go hard 
Like a dog gone mad 
She can pack some punch 
Then you're out to lunch, back at one 

It's all screwed up 
All screwed up 
It's all screwed up 
All screwed up 

It's all screwed up 
It's all screwed up 
Cant' tell I'm comin' 
All screwed up, yeah 

I said it's all screwed up 
All screwed up, yeah 
Said you're all screwed up 
All screwed up 
It's all screwed up, yes it is 
All screwed up 
It's all screwed up 
All screwed up 
Screwed up 
It's all screwed up 
It's all screwed up 

Said you think you got some balls 
But you're always out to lunch 

It's all screwed up 
It's all screwed up 
It's all screwed up, yes it is 
All screwed up 
It's all screwed up, yeah"
2,Alright Tonight ,"Do you wanna boogie?
Do you wanna blow?
She said I do I do I do
Do you want to love me?
Do you wanna blow?
She said I do I do I do
She said alright tonight, alright tonight
She said alright tonight, alright tonight
She said alright tonight, alright tonight

Do you wanna party?
Do you wanna me?
She said I do I do I do
Wanna know the level?
___?
She said I do I do I do
She said alright tonight, alright tonight
She said alright tonight, alright tonight

Alright tonight
Alright tonight
Alright tonight

Tonight
Tonight

Do you wanna journey?
Do you wanna show?
She said I do I do I do
Don't want it keep it coming
Wanna keep it up
She said I do I do I do
She said alright tonight, alright tonight
She said alright tonight, alright tonight

Alright tonight
Alright tonight
Alright tonight
Tonight
Only wanna be tonight
Baby I'm alright tonig"
3,Anything goes ,"Got a taste of a rocking band,
Standing there holding out your hand,
Better lock up all your doors,
She’s like a spinning dynamo,
You’re handing out the token prize,
Giving you a brand new ride,

Ooh there she goes, she goes,
And nobody knows where she goes,

Banging drums, working out all fast,
Heavy tune I can play it loud,
You know she’s blowing away all the others,
You’re never man enough take it on all night,
You better razzle dazzle on that stage,
Keep on rocking all through the night,

Ooh there she goes, she goes,
And nobody knows,
Where she goes she goes,

A heavy rocking tune is playing,
Playing as the night rolls on,
Sneaking off with the Romeo,
Where she goes, nobody knows

(Guitar Solo)

A heavy rocking tune is playing on a flat screen colour TV,
Sneaking over creepy crawly, never give it up to take it out through the night,

There she goes she goes, and nobody knows,
There she goes she goes, and nobody knows,
Where she goes she goes, and nobody knows,
Where she goes she goes, and nobody knows,
Where she goes she goes"
4,Are you ready ,"Are you ready? 
Are you ready?! 
Are you ready? 
Are you ready?! 

Sweet apple pie 
Standing in the street 
Hand outta line 
Looking for some heat
She take you high 
When you feel her sting 
She make you fly 
And you know you're coming! 

Who all need it? - Who 
Who all need it? - You!
Who all need it, who all need it? (Yes You do!) 
You all breathe it, we all need it .
Are You ready for a good time?
Then get ready for the night line!
Are You ready for a good time?
Then get ready for the night line!
Are You ready for a good time?!

She's makeing ice.
At everything she needs,
ain't it a crime.
When she make you pump heat.
She make you fly,
Because that's her thing.
She make you dry,
And you know you're broken in! 

Who all need it, who all need it?
(yes you do) 
You all breathe it, we all need it.
Are you ready for a good time?
Then get ready for the night line!
Are you ready for a good time?
Then get ready for the night line!
Are you ready for a good time?!

Get for those

Who all need it, who all need it?
You all breathe it, we all breathe it 
Are you ready for a good time?
Then get ready for the night line!
Are you ready for a good time?
Are you ready for a good time?
Are you ready..
Are you ready for a good time?
I want a good time!
Are you ready for a good time?
Are you, are you ready..
Are you ready for a good time?
Good, good, good, good time!
Are you ready for a good time?
Are you ready, ready, ready.

ARE YOU READY FOR A GOOD TIME?! x2"
5,Baby please don't go ,"Baby please don't go 
Baby please don't go 
Baby please don't go down to New Orleans 
You know I love you so 
Baby please don't go 

When the man done gone 
When the man done gone 
When the man done gone down the county farm 
He got the shackles on 
Baby please don't go 
Don't leave me 

I'll be a dog 
I'll be a dog 
I'll be a dog kiss your way down here 
When you walk along 
Baby please don't go 

Why must you leave me 
Lying on my back 
Going across the other side of the track 
Found yourself a new man I know 
So baby please don't go 
Baby please don't go 

Oh please, please don't leave me 
I don't want to be left alone baby 
Oh don't go, don't go, don't go"
6,Back in black ,"Back in black 
I hit the sack 
I've been too long, I'm glad to be back 
Yes, I am
Let loose from the noose
That's kept me hanging about 

I keep looking at the sky cause it's gettin' me high
Forget the hearse cause I'll never die 
I got nine lives 
Cat's eyes 
Abusin' every one of them and running wild 

Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm
Back
Back
Well, I'm back in black
Yes, I'm back in black, yow

Back in the back of a Cadillac 
Number one with a bullet, I'm a power pack 
Yes, I am
In a bang with the gang 
They gotta catch me if they want me to hang 

Cause I'm back on the track and I'm beatin' the flack 
Nobody's gonna get me on another rap 
So look at me now 
I'm just makin' my play 
Don't try to push your luck, just get out of my way 

Cause I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm
Back
Back
Well, I'm back in black
Yes, I'm back in black

Well, I'm back
Yes, I'm back
Well, I'm back
Yes, I'm back
Well, I'm
Back
Back
Well, I'm back in black
Yes, I'm back in black, ow

Oh yeah
Oh yeah
Yes, I am
Hey, yeah
Yeah
Oh yeah
Back in now

Well, I'm
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back (I'm back)
Back in black
Yes, I'm back in black

Out of sight"
7,Back in business ,"Breakin' out, about to shout 
Feel the need for one more round 
Don't you struggle, don't try to bite 
You want some trouble, I'm the king of vice 
I'm a wreckin' ball, I'm a stingin' knife 
Steal your money, gonna take your life 
You got screamin' murder, lock up your door 
Double dealin' gotta have more 
Call me dirty, trash my name 
Just tell (the? my?) boys that I'm gonna be 

CHORUS: 
Back in business again 
Back in business again 
Back in business again 
Back in business again 

(Back in business) 

Flesh and blood, I'm a rag 'n' bone 
Bad luck message on the telephone 
Don't you worry, play my game 
I'll do you a favor, put your soul for sale 
Like a cannon ball, goin' down the track 
Need good lovin' but I want it back 
I was born in trouble, they gave up on me 
Teacher preachin' what not to be 
Call me dirty, trash my name 
Just tell my boys that I'm gonna be 

ref:

Solo

ref:  (2x)"
8,Back seat confidential ,"Old man's car on a Saturday night
Got me a woman, me, I feel alright
Rockin' and a-rollin' at the drive-in show
Gonna sit in the back, in the passion row
Turn up the soundtrack, turn down the lights
A chance she won't, a chance she might
Ain't no woman in the world I know
Ain't had her knickers on the automobile floor

What's that social sound
Something's goin' down
Look at what's goin' around
Back seat confidential

Said to buy my rubber at the cigarette stand
Dyin' to get it off so I can get it in
Doin' my best to make a good connection
She said, What are you gonna do about my protection
Alright momma, gotta listen to me
Last chance thrill, it's half past three
Huggin' and a-kissin' would be real nice
Every man's got his price

What's that social sound
Something's goin' down
Look at what's goin' around
Back seat confidential

[guitar solo]

Old man's car on a Saturday night
Got me a woman, me, I feel alright
Rockin' and rollin' at the drive-in show
Gonna sit in the back, in the passion row
Turn up the soundtrack, turn down the lights
There's a chance she won't, but there's a chance she might
Ain't no woman in the world I know
Ain't had her knickers on the backseat floor

What's that social sound
Something's goin' down
Look at what's goin' around
Turn around
Back seat confidential
Back seat confidential"
9,Bad boy boogie ,"On the day I was born the rain fell down 
There was trouble brewing in my home town 
It was the seventh day, I was the seventh son 
And it scared the hell out of everyone 

They said stop, I said go 
They said fast, I said slow 
They said yes, I said no 
I do the bad boy boogie 

Being a bad boy ain't that bad 
I've had me more dirty women than most men ever had 
All you women come along with me 
And I'll show you how good a bad boy can be 

I said right and they said left 
I said east and they said west 
I said up and they said down 
I do the bad boy boogie all over town 

I wanna tell you no story, tell you no lie 
I was born to love till the day I die 
I just line them up and I knock them down 
And they all came running when the word got round 
(Just keep a running) 

I said up, they said down 
They said straight, I said round 
They said lost, I said found 
I said free and they said bound 
Bad boy boogie"
