,Title,Lyrics
0,Adams apple ,"Back when Cain was able
Way before the stable
Lightning shot right out from the sky
A mothership with fate said
Let's give it a try

Conscience was related
Man, he was created
Lady luck took him by surprise
Her sweet and bitter fruit
It surely opened his eyes

Well, she ate it
Lordy, it was love at first bite
Well, she ate it
Never knowin' wrong for right, right, right, right

Even Eve in eden
Voices tried deceivin'
With lies to show the lady the way
At first she stopped and turned
And tried to walk away

Man, he was believer
Lady was deceiver
So the story goes, but you see
The snake was he and she just climbed right up his tree

So, she ate it
Lordy, it was love at first bite
She ate it
Never knowin' wrong for right, right, right

Science was related
Man, he was created
When lady luck took him by surprise
Her sweet and bitter fruits
Surely opened his eyes

Evil came like rain
And who knows who's to blame
And something tried to lay her to waste
And all she want to need was just a little taste

So, she ate it
Lordy, it was love at first bite
Yeah, she ate it
Never knowin' wrong for right, right, right, right
Well, she ate it
Lordy, it was love at first bite
Yeah, she ate it
Never knowing wrong from right, right,
Well that's right"
1,Ain't enough ,"Riding a hurricane, tied to a ball and chain
Too much of a good good thing, it kind of stops you in your tracks
How did you ever get this far, now honey don't look back
And you best beleiving that all that's good is inside of you
Heh, inside of you, yeah

Ride on a carpet ride, high on the tears you cried
One's just too many but a thousands not enough
And you can't make up your mind playing blind mans bluff
And you best beleiving that all that's good is inside of you
Yeah, inside of you

It ain't enough, I take it all but still it ain't enough
Ain't enough, I got to have it now ain't it tough
It ain't enough, you got no misery 'cause it ain't enough
ain't enough, you got to have it cause it ain't enough
Oh sheeeit

You know another touch is easy, try and reach the sky
And though you can't get much more higher than you ever tried
When you die you're not forsaken
Best be taking tries of all the things that you're not taking

Ain't enough, I take it all but still it ain't enough
I got to have it ain't it tough
I got to have it

Ain't enough, I take it all but still it ain't enough
I got to have it

Ain't enough, you got no misery 'cause it ain't enough
Ain't enough, you got to have it cause it ain't enough
I got to have it

Ain't enough, I really got to have it
Ain't enough, I really got to have it
Ain't enough, I really got to have it


Ain't enough, I take it all but still it ain't enough 
I got to have it ain't it tough 
I got to have it 

Ain't enough, I take it all but still it ain't enough 
I got to have it 

Ain't enough, you got no misery 'cause it ain't enough 
Ain't enough, you got to have it cause it ain't enough 
I got to have it 

Ain't enough, I really got to have it 
Ain't enough, I really got to have it 
Ain't enough, I really got to have it"
2,Ain't that a bitch ,"Up in smoke you've lost another love
As you take a hit off your last cigarette
Strung out, burnt out
Yeah you're down on your luck
And you don't give a...
'Til the best part of you starts to twitch
Ain't that a bitch

Freak out! I'm alone now
I feel just like I'm losin' my mind
'Cause love is like the right dress
On the wrong girl
You never know what you're gonna find
You think you're high and fine as wine
Then you wind up like a dog in a ditch
'Cause love is like a wrong turn
On a cold night...yeah
Ain't that a bitch, Ain't that a bitch

In a daze
In the throes of emotion
You see God in the Devil's eyes
Then you fall so far from grace
You wouldn't know a kiss
If it was on your face
You can tell it to the jury
But you ain't got no case

Freak out! I'm alone now
I feel just like I'm losin' my mind
'Cause love is like the right dress
On the wrong girl
You never know what you're gonna find
The gal was fine as calamine but not
Enough to scratch a seven year itch
'Cause love is like the last licks
Outta Hendrix... yeah
Ain't that a bitch, Ain?t that a bitch

Then you feel so out of place
Lickin' up the arsenic
From the same old lace
You know the stuff is poison
But you gotta have a taste

You gotta
Freak out! I'm alone now
I feel just like I'm losin' my mind
'Cause love is like the right dress
On the wrong girl
You never know what you're gonna find
You think you're high and fine as wine
Then you wind up with your face in the ditch
'Cause love is like a warm gun
On a cold night... yeah
Ain't that a bitch, Ain't that a bitch"
3,All your love ,"All your love I miss lovin' 
All your kiss I miss kissin' 
All your love I miss lovin' 
All your kiss I miss kissin' 

Ever since I left you baby, I never knew what I was missin' 
All your love I miss lovin' 
All your kiss I miss kissin' 
All your love I miss lovin' 
All your kiss I miss kissin' 
Ever since I left you baby, I never knew what I was missin' 

All your lovin' pretty baby 
That I had in store for you 
All your lovin' pretty baby 
That I had in store for you 
All your lovin' pretty baby
What could a poor boy do 

All your lovin' pretty baby 
All your lovin' pretty baby 
All your lovin' [7x] pretty baby 
What could a poor boy do 

All your lovin' pretty baby 
All your kissin' is kissin 
All the lovin' you gave me pretty baby 
All your kissin' is kissin'
Ever since I left you baby 
I n-n-never knew what I was missin' aaaah"
4,Amazing ,"I kept the right ones out 
And let the wrong ones in 
Had an angel of mercy to see me through all my sins 
There were times in my life 
When I was goin' insane 
Tryin' to walk through 
The pain 
When I lost my grip 
And I hit the floor 
Yeah,I thought I could leave but couldn't get out the door 
I was so sick and tired 
Of livin' a lie 
I was wishin that I would die 

[Chorus:]
It's Amazing 
With the blink of an eye you finally see the light 
It's Amazing 
When the moment arrives that you know you'll be alright 
It's Amazing 
And I'm sayin' a prayer for the desperate hearts tonight 

That one last shot's a Permanent Vacation 
And how high can you fly with broken wings? 
Life's a journey not a destination 
And I just can't tell just what tomorrow brings 

You have to learn to crawl 
Before you learn to walk 
But I just couldn't listen to all that righteous talk, oh yeah 
I was out on the street, 
Just tryin' to survive 
Scratchin' to stay alive 

[Chorus]
It's Amazing 
With the blink of an eye you finally see the light 
It's Amazing 
When the moment arrives that you know you'll be alright 
It's Amazing 
And I'm sayin' a prayer for the desperate hearts tonight 

Desperate hearts, desperate hearts"
5,Angel ,"I'm alone
Yeah I don't know if I can face the night
I'm in tears
And the cryin' that I do is for you

I want your love
Let's break the walls between us
Don't make it tough
I'll put away my pride
Enough's enough
I've suffered and I've seen the light

Ba-yay-by

You're my angel
Come and save me tonight
You're my angel
Come and make it alright

Don't know what I'm gonna do
About this feeling inside
Yes, it's true
Loneliness took me for a ride

Without your love
I'm nothing but a beggar
Without your love
I'm a dog without a bone
What can I do
I'm sleepin' in this bed alone

Ba-yay-by

You're my angel
Come and save me tonight
You're my angel
Come and make it alright
Come and save me tonight

You're the reason I live
You're the reason I die
You're the reason I give
When I break down and cry
Don't need no reason why

Baby, baby, ba-yay-by

You're my angel
Come and save me tonight
You're my angel
Come and make it alright
You're my angel
Come and save it tonight
You're my angel
Come and take me alright
Come and save me tonight
Come and save me tonight
Come and save me tonight
Come and save me tonight
Come and save me tonight"
6,Angel's Eye ,"What ya gonna do when the angels come 
Get movin', yeah movin' 
I'm gonna get your kicks from the 911 
It's groovin'... so soothing 

Your passions deplete, it's just looking to feed 
Your own fantasy 
The blind side of you is a bad dream come true 
That you can't see 

Chorus: 
From an angel's eye 
Kiss your life goodbye 
From an angel's eye 
Ain't no place to hide 

Tell me what you see through an angel's eye 
The halo... on fire 
You never really know till it's do or die 
Your devil's desire 

Your running in place like a rat in a race 
Going no where 
The evil you speaks from the tongue of the freaks 
So don't go there 

Chorus 

What ya gonna do when the angel's come 
What ya gonna do when you come undone 
I'm gonna get your kicks from the 911 
Ya so bad... can't hold them 

From an angel's eye 
Kiss your life goodbye 
From an angel angel angel's eye 
Ain't no place to hide 

Fallen angel 
Fallen angel 
Fallen angel"
7,Animal Crackers ,"Don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you baby
And I don't wanna miss a thing

Know what I was thinkin'
(What?)
I, I really don't think that the animal cracker
Qualifies as a cracker
(Why?)

Well, 'cause it's sweet which is an in suggest cookie
And when you put a cheese on something
It's sorta the finer characteristic
Of what makes a cracker

Why I thought of that, I just
(Baby, you have such sweet fill-up talk)
Ya got like a little animal cracker, Discovery channel thing
Watch the gazelle as he grazes through the open plains

Now look, as the cheetah approaches
Watch as he stalks his prey
Now the gazelle is a little spooked
He could head north to the manless peaks above or south

The gazelle now faces mans most parlous question
North or south way down tune in next week
(Baby, do you think it's possible)
That anyone else in this world
Is doing this very same thing at this very same moment?

I hope so
Otherwise what the hell are we trying to say?

Don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you baby
And I don't wanna miss a thing"
8,Another Last Goodbye ,"Hey, give my heart a break
You say it's you that loves me more
And then you kick and slam your door
Hey, while you' re on your way
I wanna thank you for the ride
And pull the thorn out of my side
And Call me your baby
I kissed away the tears you cry
And then you go and leave me
Pissed off and alone
It's all about your sweet thing
Or maybe it's the devil in your eyes
Yeah what it takes to make this love survive?
Another last goodbye
Another last goodbye
You crash and burn, with the pages turned
In your black book full of names
And then you throw your frozen heart
Out in somebody else's flames
And it's a low down dirty, dirty shame
Don't let this love slip through the cracks
I'll miss your claw marks on my back
And Call me your baby
I kissed away the tears you cry
And then you go and leave me
Pissed off and alone
Yeah It's all about your sweet thing
Or maybe it's the devil in your eyes
Yeah what it takes to make this love survive?
Another last goodbye
(Yeah, Yeah, Yeah, Yeah)

I believe I'd always be in love with you
Though we got caught up in the sway
Never knowing where we left
Been off the hook and out of hand
Sometimes I feel that love's a crime
'Cuz I remember yeah the very first time
You call me your baby
I kissed away the tears you cried
But then you go and leave me
Pissed off and alone
It's all about your sweet thing
Or maybe it's the devil in your eyes
Yeah what it takes to make this love survive?

Another last goodbye (x8)"
9,Attitude Adjustment ,"This girl that I knew 
She loved me and blew me away 
We made love no doubt 
But she never went out of her way 

I keep wonderin', I keep wonderin' why 
Do the wings of your butterfly 
Lightenin' thunder 
I keep wonderin' why 

Hey I think you need an attitude adjustment 
Knock-down drag out 
I got to make myself a latitude adjustment 
With or without 

I was rather naive 
So I didn't believe when you said 
Our love is in jail 
Honey you hit the nail on the head 

Well I keep wonderin', I keep wonderin' why 
Do the wings of your butterfly 
Lightenin' thunder 
Ainšt no wonderin' why 

Hey I think you need an attitude adjustment 
Knock-down drag out 
Donšt you ever baby, wonder where the lust went 
With or without 

Now I know what it is 
Cause I know what you are 
No more cryin' eyes my friend 
Excusem fuckin' moi 

No more wonderin' 
I got news for you 

Hey I think you need an attitude adjustment 
Knock-down drag out 
I gots to make myself a latitude adjustment 
I'm headin' south 

Yeah I think you need an attitude adjustment 
From inside out"
