,Title,Lyrics
0,A Little Bitter ,"How the mind does shout for rest 
When the bodies shaken, yeah 
Oh the tightness in my chest 
Still your leaves I'm raking 

Lord is this a test 
Was it fun creating, yeah? 
My god's a little sick 
And he wants me crazy 

Who 
Are you 
Who can say 
It's ok to live through me? 

Live to be 
Part of me 
You're a wrinkled magazine 
Yeah 

Was it something that I said? 
Was it how they're breaking, yeah 
I'm so selfish, paying your rent 
While your blood I'm taking 

You 
Spend me 
Like a tree 
Dirty dollar bills for leaves 
Dark in a sea 
Of my seeds 
And the tears on which you feed 

You feed 

The body is a temple 
A dormant alter 
To where infantile men lie around 
Itching and nibbling 
For a small piece of sanity 
Of which you can not give 

Shit! 

Individuality 
Buying pennies with my soul 
And a little Heaven spent 
While the Hell I'm taking 

Thieves 
Parasites 
Hide from life 
You know they'll remember me 

They are abhored 
In self-worth 
All that matters much to me"
1,A Looking In View ,"Hear footsteps creak the floor
The shadows give away
Someone outside the door
Won't let 'em in

Life damaged gears to grind
A run down, broke machine
That steals your peace of mind
Before you know it's gone...

Lay down
Wait

Silence burning, hold your tongue
Keep us separate, sullen, dumb

Hiding in a darkness under
Boiling to the surface, stumble fall

A looking in view too long on the outside
Desperate plans make sense in a low life

These things I hate in you
Are so reflect it seems
Distortion laced with spite
Takes you out of me...

Lay down
Layin

Hiding in a darkness under
Boiling to the surface something
Crawling on your skin, discomfort
Makes you break and run, stumble fall

A looking in view too long on the outside
Desperate plans make sense in a low life

It's why you never tell me whatever's on your mind

Looking in view too long on the outside
Desperate plans make sense in a low life

It's why you never tell me whatever's on your mind"
2,Acid Bubble ,"You tried to kill me off
Surprised I remain
A scale tips, impossible
Afraid of my own name

And I always paid attention to all the lines you crossed
Forgive this imperfection it shows, and know
I am the child that lives and cries in a corner
Dies in a corner

Alone inside your mind

Intent obsolescence
Built into the system

I tried to shake it off
You can't remove this stain
A scale breaks, impossible
Afraid we are the same

And you never paid attention to all the lines I crossed
Forgive this imperfection it shows, and know
I am the child that lives and cries in a corner
Dies in a corner

Alone inside your mind

Hides in a corner
Dies in a corner
Alone inside your mind


Intent obsolescence
Built into the system"
3,Again ,"Hey, let 'em do it again, yeah
Hey, you said you were my friend
Hey, turn me upside down, oh
Hey, feelin' so down
Hey, hey

You made a fool of me again, and again...

Hey, I know I made the same mistake, yeah
I, I won't do it again, no
Why, why you slap me in the face, ow
I, I didn't say it was ok, no
No, oo...

You violate a part of me again, again and again...

Ah, ooo
Whoo whoo, yeah...

Hey, you had time to think it out, yeah
Hey, your weak will won't help her heal her heart
Hey, I bet it really eats you up, oh

Extending part of me again, and again and again... 
And again!

Yeah... yeah... yeah...
Whoo whoo, yeah, oh"
4,All I Am ,"Cannot recognize the face before me
It's unfamiliar
Time has left me broken down and homely
Can you still see me undisguised?

Outside the window of your eyes
Clinging to the memory of your prime
After many years the road you wandered
Left you here alone, deprived of others

On your toes or on your heels
There's a line drawn on the floor
Where the blood has dried there is no shine
Have another go my friend
You see I can't feel any more
While you question just who the hell am I

Is this all I am?
Given all I can?
Is this all I am?

Till the end of time
Never knowing why

Ghosts and damage no advantage for me
I'm past believing
Understand the price you pay disarming
When you can leave it all behind

Outside the window of your eyes
Clinging to the memory of your prime
After many years the road you wandered
Left you here alone, deprived of others

On your toes or on your heels
There's a hole worn in the floor
Where the blood has dried there is no shine
Have another go my friend
You see I can't feel any more
While you question just who the hell am I

Is this all I am?
Given all I can?
Is this all I am?

Till the end of time
Never knowing why

Cannot recognize the face before me
It's unfamiliar"
5,All Secrets Known ,"Hope,
A new beginning
Time, 
Time to start living

Like just before we died

There's no going back 
To the place 
We started from

Hurt, 
Falling through fingers
Trust, 
Trust in the feeling

There's something left inside

There's no going back 
To the place 
we started from

All secrets known...

Calm, 
All wounds are healing
Strong, 
Truth is worth saving

I want to feel alive

There's no going back 
To the place 
we started from

All secrets known..."
6,Am I Inside ,"Loneliness it shadows me, quicker than darkness
Crawls to the surface of my skin, visibly surrounded by it

Black is all I feel, so this is how it feels to be free

Surrounded by empty souls, artificial courage used
And because so, once was mine
I walk this maze alone

Black is all I feel, so this is how it feels to be free

The man's beside himself, man's below himself
Man's behind himself, Am I inside myself

Chaos and hate shadow me, pain it fills me up
Only one thing makes me feel, missing better half of me

Black is all I feel, so this is how it feels to be free

The man's beside himself, man's below himself
Man's behind himself, Am I inside myself

Chaos and hate shadow me, hate it fills me up
Only one thing makes me feel, missing better half of me

Black is all I feel, so this is how it feels to be free

The man's beside himself, man's below himself
Man's behind himself, Am I inside myself"
7,Angry Chair ,"Sitting on an angry chair
Angry walls that steal the air
Stomach hurts and I don't care

What do I see across the way, hey
See myself molded in clay, oh
Stares at me, yeah I'm afraid, hey
Changing the shape of his face, oh... yeah

Candles red I have a pair
Shadows dancing everywhere
Burning on the angry chair

Little boy made a mistake, hey
Pink cloud has now turned to gray, oh
All that I want is to play, hey
Get on your knees, time to pray, oh

I don't mind, yeah
I don't mind, I-I-I
I don't mind, yeah,
I don't mind, I-I-I
Lost my mind, yeah
But I don't mind, I-I-I
Can't find it anywhere
I don't mind

Corporate prison, we stay, hey
I'm a dull boy, work all day, oh
So I'm strung out anyway, hey

Loneliness is not a phase
Field of pain is where I graze
Serenity is far away

Saw my reflection and cried, hey
So little hope that I died, oh
Feed me your lies, open wide, hey
Weight of my heart, not the size, oh

I don't mind, yeah
I don't mind, I-I-I
I don't mind, yeah,
I don't mind, I-I-I
Lost my mind, yeah
But I don't mind, i-i-i
Can't find it anywhere
I don't mind

Pink cloud has now turned to gray
All that I want is to play
Get on your knees time to pray, boy"
8,Black Gives Way To Blue ,"I don't want to feel no more
It's easier to keep falling
Imitations are pale
Emptiness...all tomorrows

Haunted by your ghost...

Lay down, black gives way to blue
Lay down, I'll remember you

Fading out by design
Consciously avoiding changes
Curtain's drawn now it's done
Silencing all tomorrows

Forcing a goodbye...

Lay down, black gives way to blue
Lay down, I'll remember you"
9,Bleed The Freak ,"My cup runneth over
Like blood from a stone

These stand for me
Name your god and bleed the freak
I like to see
How you all would bleed for me

When the pig runs slower
Let the arrow fly
When the sin lies bolder
I'll pluck out thine eye

These stand for me
Name your god and bleed the freak
I like to see
How you all would bleed for me

If you scorn my lover
Satan got your thigh
If you steal in hunger
I will kick you when you try

These stand for me
Name your god and bleed the freak
I like to see
How you all would bleed for me

(In Backround) ""All these things that you've done for me,
Have left me so... FUCKING TIRED
I'm not saying that you haven't done a lot of good,
But if there's one thing you can do,
You can BLEED FOR ME, BLEED FOR ME""
These stand for me
Name your god and bleed the freak
I like to see
How you all would bleed for me

These stand for me
Name your god and bleed the freak
I like to see
How you all would bleed for me"
10,Blood Tears Little Girl ,"Little girl, where did you go?
Playing in the fields when the sun goes
Before the moon had changed at night
You had fallen out of sight

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Little girl went to the city now
Got lost in this place up high
All the things you learned were almost real
But that denies our strength to heal

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Walking down the street
Walking
My little girl...
Little girl gliding in the sky
came back down to say goodbye
I regret having scared you away
All my fault but nothing to say

Little girl, why did you go away?
I was missing you, I knew when I strayed
Didn't mean to lie, didn't mean to cry
I just wanted to say goodbye

Walking down the street
Walking
My little girl...

I had a girl
Little girl
She loved me more than I used to know
I loved that girl
I thought I would be with her forever"
11,Breath On A Window ,"Mending fence along the road
Barely holding together
Mapless zone the road signs holed
Keep ahead of the weather
Long past time to close dead eyes
Find a break in the highway
Out here I'm invisible
Very few going my way

Breath on a window showing tic tac toe
Rear view reflecting there ain't nobody home

Ghost town trip of misery
I ain't feeling no better
Road kill heart inside of me
Follow it to the letter
Sundown brings a welcome change
Everything that's hiding
More at home in landscapes strange
Are you selling I'm buying

Breath on a window showing tic tac toe
Rear view reflecting there ain't nobody home
Cigarette burn holes outline an old soul
Connect the dot scribbling
And you would never know

Failed to head the signal
Thought you got through just in time
Crashing hard upon your ego
Penetrated from the side


I'd let you go, but you're always in the way
I'm the damage done, your scar of yesterday

I'd let you go, but you're always in the way
I'm the damage done, your scar of yesterday"
