,Title,Lyrics
0,A Pain That I'm Used To ,"I'm not sure what I'm looking for anymore 
I just know that I'm harder to console 
I don't see who I'm trying to be instead of me 
But the key is a question of control 

Can you say what you're trying to play anyway 
I just pay while you're breaking all the rules 
All the signs that I find have been underlined 
Devils thrive on the drive that is fueled 

All this running around, well it's getting me down 
Just give me a pain that I'm used to 
I don't need to believe all the dreams you conceive 
You just need to achieve something that rings true 

There's a hole in your soul like an animal 
With no conscience, repentance unknown 
Close your eyes, pay the price for your paradise 
Devils feed on the seeds of the soul 

I can't conceal what I feel, what I know is real 
No mistaking the faking, I care 
With a prayer in the air I will leave it there 
On a note full of hope not despair 

All this running around, well it's getting me down 
Just give me a pain that I'm used to 
I don't need to believe all the dreams you conceive 
You just need to achieve something that rings true"
1,A Photograph Of You ,"What good is a photograph of you? 
Everytime I look at it, 
It makes me feel blue! 

What use is a souveneir 
Of something we once had, 
When all it ever does is 
Make me feel bad! 

I wish I could tear it up, 
But then again I haven't the guts! 
I wish I could throw it on the fire 
I wish I could, 
But to say I would, 
I'd be a liar! 

What good is a colour print 
Of a little baby doll? 
When just one little glance 
Is enough to make me feel dull! 

I hoped I would misplace it, 
But then I take such good care of it. 
I wish it would disappear, 
I say I wish, 
But then I relish 
It being here! 

What good is a photograph of you? 
Everytime I look at it, 
It makes me feel blue. 
What good is a photograph of you? 
Everytime I look at it, 
It makes me feel blue. 

Feel blue."
2,A Question Of Lust ,"Fragile 
Like a baby in your arms 
Be gentle with me 
I'd never willingly 
Do you harm 

Apologies 
Are all you seem to get from me 
But just like a child 
You make me smile 
When you care for me 
And you know... 

It's a question of lust 
It's a question of trust 
It's a question of not letting 
What we've built up 
Crumble to dust 
It is all of these things and more 
That keep us together 

Independence 
Is still important for us though (we realise) 
It's easy to make 
The stupid mistake 
Of letting go (do you know what I mean) 

My weaknesses 
You know each and every one (it frightens me) 
But I need to drink 
More than you seem to think 
Before I'm anyone's 
And you know... 

It's a question of lust 
It's a question of trust 
It's a question of not letting 
What we've built up 
Crumble to dust 
It is all of these things and more 
That keep us together 

Kiss me goodbye 
When I'm on my own 
But you know that I'd 
Rather be home 

It's a question of lust 
It's a question of trust 
It's a question of not letting 
What we've built up 
Crumble to dust 
It is all of these things and more 
That keep us together (x3)"
3,A Question Of Time ,"I've got to get to you first 
Before they do 
It's just a question of time 
Before they lay their hands on you 
And make you just like the rest 
I've got to get to you first 
It's just a question of time 

Well now you're only fifteen 
And you look good 
I'll take you under my wing 
Somebody should 
They've persuasive ways 
And you'll believe what they say 

It's just a Question of Time
And it's running out for you
It won't be long until you do
Exactly what they want you do

I can see them now 
Hanging around 
To mess you up 
To strip you down 
And have their fun 
With my little one 

It's just a Question of Time
And it's running out for you
It won't be long until you do
Exactly what they want you do

Sometimes I don't blame them 
For wanting you 
You look good 
And they need something to do 
Until I look at you 
And then I condemn them 
I know my kind 
What goes on in our minds 

It's just a question of time 
It's just a question of time
It should be better
It's just a question of time
It should be better with you
It should be better
It should be better with you"
4,Addiction ,"I can't help it, I'm not sure what to do
Does seem crazy, no good for my health
I've seen the doctor, he's come to look at me
If you don't believe it, don't believe

Closer all the time, Closer all the time
Closer all the time, Closer all the time

Now I'm saying how I'm going to need a pill
I need you like a drug to keep my fill
I can't remember everything I do
Now I put them, it's only good to you

Closer all the time, Closer all the time
Closer all the time, Closer all the time

You can't help but look me in the eye
While I come running, I don't know why
It's an addiction, image of love
Your heart pushing, angel from above

Closer all the time, Closer all the time
Closer all the time, Closer all the time
Closer all the time, Closer all the time
Close!"
5,All That`s Mine ,"I know it's hard to reach you
I know It's hard to breathe
I know it's hard to be you sometimes
I can't imagine what that means
This must be someone else's story
I can't follow what you've planned
How can this be about me
Am I suppose to understand

Like a ship on the ocean
Heading out to sea
You can hardly see it now
It's a lot like you
Lost like me

You're still looking for redemption
Still can't find a trace
If there is nothing after
There'll be no saving Grace
I'm giving you control now
I need some kind of sign
Come take away this sorrow now
I gave you all that's mine

Like a ship on the ocean
Heading out to sea
You can hardly see it now
It's a lot like you

Like a ship on the ocean
Heading out to sea
You can hardly see it now
It's a lot like you
Lost like me"
6,Alone ,"I was there when you needed me most
 I was there when you wanted me least
 I was your father, your son and your holy ghost and priest

Through your failings and success
 Through your losses and gains
 I didn’t see much happiness or pain

I couldn’t save your soul
 I couldn’t even take you home
 I couldn’t fill that hole
 Alone

I saw you at your best
 I knew you at your worst
 I couldn’t tell if you were blessed or cursed
 There’s a thin grey line between the black and the white
 It’s evidently hard to find at night

I couldn’t save your soul
 I couldn’t even take you home
 I couldn’t play that role
 Alone

Now it’s too…
 Too late for words that should have been said
 Long ago

I was there when you needed me most
 I was there when you wanted me least
 I was your father, your son and your holy ghost and priest

I couldn’t save your soul
 I couldn’t even take you home
 I couldn’t fill that hole
 Alone"
7,Always ,"The well is dry 
and the stream runs shallow
And the sun is high 
and the field lies fallow
My tongue is tied 
and my body aching
Now I'm open wide 
and afraid of breaking

The food is hot 
and the table's  eady
But my stomach's knots 
make my hands unsteady
So I take to pacing 
up and down the room
While my heart keeps racing 
and my mind's consumed

I just want to be part
Of the light, of the light, of the light
Of the light in your eyes
I just want to be part
Of the light, of the light, of the light
Of the light in your eyes

The bed is made 
and the candles burning
All our games are played 
and the clock keeps turning
We're out of tricks 
with the silence cutting
With the dagger stick 
as the doors keep shutting

I just want to be part
Of the fight, of the fight, of the fight
Of the fight in your eyes
I just want to be part
Of the fight, of the fight, of the fight
Of the fight in your eyes

Always, always
Always, always
(Forever)
Always
(Forever)"
8,Always You ,"My love, the world's upside down
My love, no solid ground
My love, there are no more facts
My love, reality's cracked

And then there's you
There's always you
You're all I need to keep believing
And then there's you
There's always you
The air that keeps my spirit breathing
And then there's you
There's always you, there's always you
There's always you, there's always you
There's always you
My love, there are no more words
My love, life's too absurd
My love, I could not explain
My love, why insanity reigns

And then there's you
There's always you
The light that leads me from the darkness
And then there's you
There's always you
Your grace and holiness are endless
And then there's you
There's always you, there's always you
There's always you, there's always you
There's always you
And then there's you
There's always you, there's always you
There's always you, there's always you
There's always you"
9,And Then... ,"And Then...

Let's take a map of the world 
Tear it into pieces 
All of the boys and the girls 
Will see how easy it is 

To pull it all down and start again 
From the top to the bottom and then 
I'll have faith or, I prefer 
To think that things couldn't turn out worse 

All that we need as the start's 
Universal revolution (That's all!) 
And if we trust in our hearts 
We'll find the solutions 

Took a plane across the world 
Got in a car 
When I reached my destination 
I hadn't gone far 

Let's take the whole of the world 
The mountains and the sand 
Let all the boys and the girls 
Shape it in their hands"
