,Unnamed: 0,Title,Lyrics
0,0,(Beginning Of What's About To Happen) ,"In the middle of the Highway, 
As you ride down the road, 
Just get that feeling, 
It's all so black and bald. 
And then theres my face, 
When you're drivin the desert sand, 
Well open my hand, 
Well open up the land. 

Yeah. 

Well everyone now bring your car to me. 
From the mother of earth to the depth of the sea. 
Well dont raise any hand for me, 
When ya na na na na need me. 

Yeah. 

In the middle of the Highway, 
As you ride down the road, 
Just get that feeling, 
It's all so black and bald. 
And then theres my face, 
And a-drivin the desert sand. 
Well open my hand, 
Well open up the land. 

Yeah. 

Well everyone now bring your car to me, 
From the mother of earth to the depth of the sea. 
Well dont raise any hands for me, 
no no, 
When ya na na na na need me. 

Yeah."
1,1,100' ,"Step on it,
I beg you please,
Jus' 100' I'm on my knees,
It's the one you blow,
It's the one you show,
So then you know I'm right


There's been a place built for you,
Sit by the fire tell, me truths,
Don't blind my eyes turn them blue,
And then I'll dry my face on you

Step on,
I beg you please,
Jus' 100' so I freeze,
Drowning in that ice I fly,
It's a great white place,
And the heat's diseased

100'"
2,2,50 Million Year Trip (Upside Down) ,"I am drinking 
I am rolling (you can't stop me) 
I am hiding 
I am running (you can't stop me) 

But I'll never forget you (anyway) 
But I'll never forget you (anyway) 
But I'll never forget you (anyway) 
But I'll never forget you 

I am drinking 
I am rolling (you can't stop me) 
I am running 
I am rolling (you can't stop me) 

But I'll never forget you anyway 
But I'll never forget you anyway 
But I'll never forget you anyway 
But I'll never forget you 

See our family to realize 
As it's running down today 
I love the city love the day 

No fool for you 
In this I am 
I'm never gonna run about"
3,3,Allen's Wrench ,"[Verse 1]
Your subdivision has been plastic emotion

[Chorus]
It's all you get
It's all you get
It's all you get
It's all you get
Allen's wrench
It's all we get

[Bridge]
Always there
Man, you better never

[Verse 2]
'Cause I like the tension, magic mother potion

[Chorus]
It's all you get
It's all you get
It's all you get
It's all you get
Allen's wrench
It's all you get
Well, Allen's wrench
It's all you get
Well, Allen's wrench
It's all you get
Well, Allen's wrench
It's all we get

[Outro]
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench"
4,4,Big Bikes ,"Here she comes a ridin 
Well burning down the street. 
Here she comes a fucking the boy, 
Hear the New York street 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch 
well on a big bike, 
big bike yeah. 

He is feelin' nasty, 
She is feelin' nice tonight. 
Hey baby, well, I want to cool you down. 
I need something tonight 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch 
On a big bike, 
Big bike yeah. 

Here she comes a ridin 
Well burning down the street. 
Here she comes a fucking the feet boy, 
Hear the New York street 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch (mmm) 
On a big bike, 
Big bike.... 
Big bike. 
Whose the? 

Yes you think it wide? 
Yes you, 
Yes you, 
Yes you CK... 
*Yeah*"
5,5,Black Widow ,"Give me now (x5)
Give me a way
Give me a fucking reason
A reason I should stay

Built for business or for pleasure
Any way you choose
It doesn't matter how or why
'Cause either way, you lose

Give me now (x5)
Give me a way
Give me a fucking reason
A reason I should stay

Built for business or for pleasure
Any way you choose
It doesn't matter how or why
'Cause either way, you lose

Yeah, yeah"
6,6,Born To Hula ,"Follow trails of you to here 
Every mile takes you my way 
Rolling faster if we can 

Tables turning all the time 
I'm the dog at your feet 
So we are it again 

You're the one 

Fucking have to wait a dime 
Different signals blinking my way 
Coming faster all the while 

You're the one 

Ain't it something, we're born to hula "
7,7,Catamaran ,"[Verse]
Smooth stones beneath me
Cool air surrounds
Soft and savoury
You can take me to God
You can take me to God

[Chorus]
No, it doesn't take your will
To set your brace on me
I never doubt your possibilities
Please let go of my sleeve

[Verse]
Smooth stones behind me
Cold air surrounds
Soft and savoury
You can take me to God
You can take me to God

[Chorus]
No, it doesn't take your will
To set your brace on me
I never doubt your possibilities
Please let go of my sleeve"
8,8,Conan Troutman ,"Feed my lungflower seed, 
You are gone and now I'm free (I'm free - yeah), 
Strip me down to nothing, 
Fuck me will free the vulture (make it fly), 

Burning my brain and burning my teeth (in the sun), 
100ř and burning my need (make it fly), 
Live the love that I have for you, 
Taking you life for want you (free) "
9,9,Day One ,"Don't be sad for what will never be
Be glad you didn't have to see
This time became a part of me
And now this burning memory

The sun will break the night till dawn
And then we'll tell some tales again
And when the time has come and gone
The wind will carry on and on
The wind will carry on and on
The wind will carry on and on"
10,10,Deadly Kiss ,"Look into my face now
Stare into my eyes
Hellfire in my veins
in my veins
in my veins
in my vein, yeah.

I can see through your eyes,
Its no disguise to me,
I can see through the lies,
No one can make a fool of me.

Drowning in your lonliness,
Want to bring me down with you.
No one buys your innocence,
Gonna' break your walls in two.
Well in two,
Well in two.

No one buys it,
No one wanted to,
With you,
You,
Fuck you.

Dig your grave for two.

Walk my way,
Get out of my way.
Well I wanted you,
I saw right through ya.
Well I'm your man,
You'll understand,
You'll pay the price,
To live in a-paradise.

Look into my face now,
Stare into my eyes.
Hellfire in my veins,
In my veins,
In my veins,
In my vein yeah.

I can see through your eyes,
Well its no disguise to me.
I can see through the lies,
No one can make a fool of me.

I'm drowning in your lonliness,
Want to bring me down with you.
No one buys your innocence,
Gonna break your walls in two.
Well in two,
Well in two.

Well no one buys it,
No one wanted to,
With you,
You,
Fuck you.

Dig your grave for two."
11,11,Demon Cleaner ,"I've got the demons in me 
I've got to brush them all away 
I feel the demons rage 
I must clean them all away 

Yeah (yeah) 

Inside you see more of me 
Cobwebs in the way 
That magic cleaner will 
Shine his smile on me 

Yeah (yeah) 

I am the Demon Cleaner 
who saves the day 
I get the back one, 
important they'll always stay 
Yeah (yeah) 

If only one thing that you know 
Impostors from the show 
They'll try to trick you into 
Normal treatment 
Oh, don't you listen to them say 
Shush them all away 

I am the Demon Cleaner, 
the madman saver
I am the freedom bleeder, 
standing naked here to say 

I'm the only way
I'm the only way
I'm the only way
I'm the only way"
12,12,El Rodeo ,"johnny
and if you're trying to ride for free
oh johnny
it'll be the same I do to you

johnny
and if you wanna turn my knees(?)
oh johnny
it'll be the same I do to you

johnny
and if you're trying to ride for free
oh johnny
it'll be the same I do to you

yuh [some kind of grunt]

johnny
and if you wanna turn my knees
oh johnny
it'll be the same I do to you

johnny
and if you're trying to ride for free
oh johnny
it'll be the same I do to you

rodeo... johnny

yuh [some kind of grunt]

if you're trying to ride for free.... rodeo

rodeo
rodeo
rodeo
rodeo
rodeo
rodeo
rodeo
rodeo
rodeo"
13,13,Fatso Forgotso ,"It's hanging above you and it's over 
It's over your head 
Hovering slowly I hear words 
Too and I totally agree 
It ain't just you and me 

Since then you've been looking at me 
Like I been on your mind 
Everything would have been 
Don't take it like we're taking it home 

It's over your head 
It's over my head "
14,14,Fatso Forgotso Phase II ,"You lay it down and let it 
Teach you a lesson 
Lay it down but it's up in a second 
I thought it was something I could grip on 
I'm burning out like leaving the light on 

Well it ain't fair, it ain't done 
It ain't up to me "
15,15,Freedom Run ,"Freedom run [Repeat] 
Free to run [Repeat]... 
Freedom run [Repeat] 

No break through, 
I steal for you. 
I need ya, 
and there's nothing you can do, yeah. 

Walked hundred miles of desert sun, 
to grasp the chance that I'll be gone, 
be one with you, yeah. 

Freedom run [x3] 

Well I'll break through, 
Well I steal for you. 
Well I need ya, 
and there's nothing you can do, yeah. 

No form in past 
I hope you last. 
You're in my grasp 
I loved you ohS yeah yeah... "
16,16,Gardenia ,"one blow till I take ya down, I'll take ya down 
one smoke and your head spins around and around 
chrome bags, a million drags, a never lags, 
and old transform queen momma you've never seen 

hear a purrin' motor 
and she's a burnin' fuel 
push it over baby 
oh makin' love (un)to you 

power booster, I'm talkin' to god and more 
crank it up and above my head 
smell my shit eatin grin on the skids of my world 
six hundred sixty six miles per hour 

hear a purrin' motor 
and she's a burnin' fuel 
push it over baby 
oh makin' love..... 

hear a purrin' motor 
and she's a burnin' fuel 
oh baby burnin' 
push it over baby 
oh makin' love (un)to you 
makin' love (un)to you 
makin' 

get back, get back a rolling 
get back, get back a rolling 
get back, get back a rolling 
get back, get back the motherfucker 
get back, get back a rolling 
get back, get back the motherfucker 
get back, get back the motherfucker"
17,17,Gloria Lewis ,"When the feeling comes it always leaves, 
to the top of the hill, 
the hill of thieves. 
Brush that curious out. 
Hurry away. 
You've got the hole in your head to feel the breeze. 

If you're gonna ride, baby, 
ride a/the wild horse. 
I/we can't drink no more, 
but I'll/we'll try. 
You can't find us, baby, 
in the basement. 
And it/I slug your in your fucking hea"
18,18,Green Machine ,"[Verse 1]
I've got a war inside my head
It's got to set your soul free
I've got a wheel inside my head
A wheel of understanding

[Chorus]
I'm a loadin', loadin' my war machine
I'm contributing to the system
The break down scheme
I'm a shuttin' down
I'm shuttin' down your greed for green
I am here to gun it down, I gotta do

[Verse 2]
I see pretty flowers at my feet
Cool breeze, clean air, hospitality
Pretty please, pretty please, pretty please
Get the hell away from me

[Chorus]
I'm a loadin', loadin' my war machine
I'm contributing to the system
The break down scheme
I'm a shuttin' down
I'm shuttin' down your greed for green
I am here to gun it down, I gotta do

[Verse 1]
I've got a war inside my head
It's got to set your soul free
I've got a wheel inside my head
A wheel of understanding

[Chorus]
I'm a loadin', loadin' my war machine
I'm contributing to the system
The break down scheme
I'm a shuttin' down
I'm shuttin' down your greed for green
I am here to gun it down, I gotta do"
19,19,Happy Birthday ,"
Happy, happy birthday 
Two years dead today 
You can't keep me running 
You can't keep me from hiding from you 
Don't mess around with me 
I'm down to the wire 
And I'm burning 
I'm burning higher and higher and higher 
I keep on running 
I never seem to get away from you 
I can't escape the memories 
That haunt me every day and night 
Just you leave me alone 
I'm down to the wire 
And I am burning 
Higher and higher and higher "
20,20,Hurricane ,"I feel nothin', said I don't feel nothin'
And I won't feel nothing at all
I found somethin', said I really found somethin'
And I won't take nothin' at all

Get me up, get me up, now I've suffered
My life has blown me away
I can't breathe, said I can't breathe nothin'
And I won't fuckin' breathe at all

I feel nothin', said I don't feel nothin'
And I won't feel nothing at all
Found somethin', said I really found somethin'
And I won't take nothin' at all

Get me up, get me up, I've suffered
My life has done me away
Can't breathe, said I can't breathe nothin'
And I can't fuckin' breathe at all"
21,21,I'm Not ,"I'm not, 
Ready to leave this world. 
Bring as big a people, 
Well no one told me about them. 

Sometimes, well it doesnt seem to matter, 
But I'll make mine a good one. 
Up with the clouds of hate. 

Only, 
time, 
will tell, 
Time, will tell. 
Will tell. 

I'm not, 
Ready to leave this world. 
Bring as big a people. 
Well no one told me about them. 

Sometimes, well it doesnt seem to matter, 
But I'll make mine a good one. 
Up with the clouds of hate yeah... 

Well only, 
Time, 
Will tell, 
Well only 
Time, will tell. 
Well only time. 

Well only time will tell. 

Takin' it yourself, 
Well only time will tell. 
Yeah. 

Only. 
Time 
Will tell 
Only, 
Time, tell. 

Well only time will tell. 
Well only time will tell. 

Well I'm not, 
Ready to leave this world. 
Bring as big a people, 
Well no one told me about them. 

Sometimes, well it doesnt seem to matter, 
But I'll make mine a good one. 
Up with the clouds of hate yeah... 

Only. 
Time 
Will tell 
Only, 
Time, will tell. 
Only, time."
22,22,If Only Everything ,"If it gets you down 
Well then I want it 
If it gets you up, well 
I don't want it 
Lets you down 
So broken hearted 
If it gets you down 
Well then I want it 

If only we're nothing at all 

So blow my mind 
It's just so crazy 
Those long, long days 
Just make it eighty 
So roll the wheel 
And there it goes 
And where it stops 
You never know 
If it gets you down 
Then just don't blame me 

If only we're nothing at all"
23,23,Into the Void ,"Rocket engines burning fuel so fast 
Up into the night sky they blast 
Through the universe the engines whine 
Could it be the end of man and time 
Back on earth the flame of life burns low 
Everywhere is misery and woe 
Pollution kills the air, land, and sea 
Man prepares to meet his destiny 

Rocket engines burning fuel so fast 
Up into the black sky so vast 
Burning metal through the atmosphere 
Earth remains in worry, hate and fear 
With the hateful battles raging on 
Rockets flying to the glowing sun 
Through the empires of eternal void 
Freedom from the final suicide 

Freedom fighters sent out to the sun 
Escape from brainwashed minds and pollution 
Leave the earth to all its sin and hate 
Find another world where freedom waits 

Past the stars in fields of ancient void 
Through the shields of darkness where they find 
Love upon a land a world unknown 
Where the sons of freedom make their home 
Leave the earth to Satan and his slaves 
Leave them to their future in their grave 
Make a home where love is there to stay 
Peace and happiness in every day "
