,Title,Lyrics
0,#Hot16challange2 ,"siemano dzięki cypis za nominację
nagramy tego disco polo wierzę
arach mordo też dzięki za nominację
kurwa lecimy z tym gównem

wirus się panoszy dosyć zrobię z tym porządek
tylko ja mam prawo jebać stare baby prądem
mamy problem nonstop z polską służbą zdrowia
ja bym to w pizdu sprywatyzował
wkoło maseczki na twarzy dziwko stwarzaj pozory
ja zamiast maski na ryju mam brudne gacie twojej siory
dawaj zdissuj mnie zjebie
to na trzecim challenge'u będą zbierali na ciebie
jeszcze będzie wspaniale kurwa ziomal wiadomo
najebany z twoją kartą walnę zgona w cocomo
chuj z tą koroną będę nocował to rowach
dostanę padaczki i pierdolnie mi wątroba
zobacz skurwysynu jaką jestem gwiazdą
idę se przez miasto wszyscy klaszczą
pozdrawiam raperów zrobiłem każdemu siarę
bo ich rozjebał skurwielu typ od basenu i starej
oho

kurwa grubas w formie co?
dobra yyy nominacje
kopia
faun
potwór monsta
i pani sylwia z jeden z dziesięciu która rozdaje łakocie"
1,1 Listopada ,"wszystkich świętych, łapy w górę
wszystkich świętych, wszystkich świętych

1 listopada
cała brygada
na groby wpada
(wszystkich świętych)
kurwy, koks i trawa
grobowa mrzawa
będzie zabawa
(skurwysynu)

groby, urny, wszystkich świętych
wóda, kurwy, browar, skręty
jestem przeklęty, w pijackim szale
robię sobie na cmentarzu zajebisty balet, ta
jest doskonale, pewnie trafię do puchy
ze mną moje napierdolone czarnuchy
nie mamy skruchy, suko, trzymaj się z dala
włączamy boombox, kurwo, i gra gitara
nie pasuje? wypierdalaj, obok odbywa się msza
podbija stara kurwa i coś się do nas sra
mówię do niej: 'paszła, tu się chla, stara suko
wpierdolę tobie, potem twoim wnukom'
zero kultury, co za bezczelna jędza
najebany ziomek napierdala księdza
z buta się rozpędza, klecha rozjebany
będzie na oiomie cierpiał za nas rany
rozkręcamy balet, teraz zamawiamy kurwy
rozpalamy grilla z rozjebanej trumny
jestem z siebie dumny, chuj że nie wypada
wolne, biba, groby – pierwszy listopada

1 listopada
cała brygada
na groby wpada
(wszystkich świętych)
kurwy, koks i trawa
grobowa mrzawa
będzie zabawa
(głupia suko)

słucham funku dziwko, w koło ludzi od chuja
trzymam w ręku piwko, głowa sama się buja, ta
alleluja, nie zamulam buły
zapamiętaj szmato, this is how we doin'
dziwki się napruły, najebane w sztok
jedna kręci wieńcem jak jebanym hula-hop
drugą oblał zimny pot, biega w samym staniku
zaraz zrobię sobie z nią fiku-miku na pomniku
ściągam dziwce gacie – dziwka rozebrana
kładzie się na blacie i rozkłada kolana
nagłe ktoś mnie szturcha: 'halo, proszę pana
jak tak można, tutaj leży moja mama'
jesteś jakaś pojebana, mówię: 'back off bitch'
a ten pierdolony znicz możesz wsadzić sobie w picz
aha, właśnie tak...
2017 summer solocaust, szmato

1 listopada
cała brygada
na groby wpada
(wszystkich świętych)
kurwy, koks i trawa
grobowa mrzawa
będzie zabawa
(szmato)

skurwysynu jutro święta
na na na na na na na na na
więc zapierdalaj na cmentarz
na na na na na na na na na
załóż czapkę mikołaja
na na na na na na na na na
połóż znicza i spierdalaj
na na na na na na na na na"
2,Asłuchalne intro ,"(samplowane z utworu Haliny Kunickiej)
""Lato, lato, lato czeka
Razem z latem czeka rzeka
Razem z rzeką czeka las
a tam ciągle nie ma nas""

Lato, lato, lato czeka
Marzy mi się, szmato, żeby zajebać człowieka
(?) jak na lekach, mamy wakacyjny czas
Przed odsłuchem radzę, abyś zapierdolił kwas
Ino raz, tępy chujku, na podwórku beton żre
Jeśli jesteś spięty pewnie po tym zrobi Ci się źle
2NP, skurwysynu, zapamiętaj nazwę składu
Robię taki dym, że wyjebało czujnik czadu

Mamy lato, szmato, słońce napierdala w czachę
Mów mi Castorama, ściero, bo Ci zaraz sprzedam blachę
Otwieraj flachę, sponiewieraj się jak suka
Słuchasz ciężkie gówno, które trudno spłukać
Kto wyrucha Cię bez gumy i zaleję po sam mózg
a jak nie poronisz bejbe zapierdoli 500+
Poczuj luz jak dziecko, disco, chillpunk, West Coast
Dziwko zdechniesz przez to, płyta zdrowa jak Domestos
Jestem do oporu chory
tak że boją się mnie złapać jebane nowotwory szmato
Chcę mieć za to wory hajsu, prosty plan
To jest Summertime Holocaust, volume one
Sram na skutki, to może trochę wpienić
Prostytutki mają dystans krótki jak mój penis
Chcę tutaj coś zmienić, nie żyć jak jebane zero
Nowy gatunek muzyczny, Zwyrol-Polo, ściero!

Lato, lato, lato czeka
Marzy mi się, szmato, żeby zajebać człowieka
(?) jak na lekach, mamy wakacyjny czas
Przed odsłuchem radzę, abyś zapierdolił kwas
Ino raz, tępy chujku, na podwórku beton żre
Jeśli jesteś spięty pewnie po tym zrobi Ci się źle
2NP, skurwysynu, zapamiętaj nazwę składu
Robię taki dym, że wyjebało czujnik czadu

Czuję chemię z bitem, typie, baunsuję na wczasach
Robię sobie kwasa z waszych pierdolonych zasad
Przepraszam. Żartowałem, skurwysyny
Grajcie to na plaży, palcie przy tym, pijcie driny
Nie ma spiny, mam zabawę pod te chillpunkowe dźwięki
Przy tym wali konia nawet Edward Nożycoręki
Kup tę płytę, aby potem złapać za jebany młotek
i ją rozpierdolić, kupić nową, chcę jebać robotę, kotek
Powtarzaj to w kółko, aż nie będę srał tu złotem
2NP, dwa chamy dziwko, obrzucamy wszystko błotem
Ciało oblewa się potem, żar leje się z nieba
więc gleba na leżak, uwal pizdę, śpiewaj te refreny
W twojej dupie rozłożymy parawana, nie ma przebacz
Przekopiemy, wyruchamy i na plaży zakopiemy
To nie treny tylko chillout, staram się mieć wyjebane
no i dalej czuję luz, jakbym jebał białą damę

Lato, lato, lato czeka
Marzy mi się, szmato, żeby zajebać człowieka
(?) jak na lekach, mamy wakacyjny czas
Przed odsłuchem radzę, abyś zapierdolił kwas
Ino raz, tępy chujku, na podwórku beton żre
Jeśli jesteś spięty pewnie po tym zrobi Ci się źle
2NP, skurwysynu, zapamiętaj nazwę składu
Robię taki dym, że wyjebało czujnik czadu"
3,Bardzo Asłuchalne Intro ,"summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2

hej  ho hej ho, wakacyjny zamachowiec wbił na dancefloor, ziom
zatańczył disco‚ dziwko, jak jebany gej
przed wybuchem krzyknął tylko: 'viva holiday', ej
naciśnij play i bądź niemy na problemy
plażowy  sprzedawca drze się, że wszyscy zginiemy
jebać kremy z filtrem, po co się je produkuje
kiedy z końcem tego krążka cała polska wyparuje
lato się zaczyna, wakacyjny chillout, chłopie
barman zamiast drina zrobi ci kolonoskopię
siedzę na urlopie, osierodek w gostyninie
razem z mario trynkiewiczem bajeruję chore świnie
płać mi skurwysynie albo idź w pizdu
to jest summertime holocaust volume two
zmów lepiej paciora albo litanię, kasztanie
bo słuchanie tego gówna gwarantuje opętanie

summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2

mam karawan w cabrio, radio grało rena g
jadę sobie se zbokami ulicami lvc
gibony i hennessy, pierdolony łeb się kiwa
niemieccy faszyści znowu rozbijają biwak
zrywaj muchomory, pakuj je do ryja, szmato
twój zapał życiowy spłonie razem z twoją chatą
pierdolone lato, żadna grudniowa szaruga
jak cię koleś dopierdolę, będziesz pozować na szluga

starą babę w busie
z gorąca wykręca
pierdolnie na wylew
albo zawał serca
każdy wodny akwen
pozorny morderca
najebany wędkarz
wyciąga topielca

summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2
summertime summertime
summertime  holocaust 2"
4,"Bardzo Wakacyjne, Asłuchalne Intro ","hoł hoł hoł drogie dzieci
wesołych wakacji i szczęśliwego roku
hoł hoł hoł
dzyń dzyń dzyń

rozpoczynam letnią płytę takim bitem dziwko
jestem pojebanym typem, mogę robić wszystko
więc otwieraj piwko, to holocaust trójka
nie zapomnisz tego smyku, jak dotyku wujka
nie ma czym oddychać, ja pierdolę, o boże
przez upały stare baby umierają na SORze
jest gorąco skurwysynu, wypierdalaj nad morze
tranzystory chodzą sobie z gołym chujem na dworze
hoł, hoł, hoł
nie jestem tu przypadkiem
hoł, hoł hoł
właśnie wołam twoją matkę
ta płyta to wóda moderatorzy pizdy
przed odsłuchem na youtube'a chcą dowód osobisty
piszę sobie listy do świętego mikołaja
żeby nie przychodził ta jebana gruba faja
jak się zjawi to skurwysyn pójdzie na rentę
bo wakacje oficjalnie został rozpoczęte

summertime holocaust mixtape volume 3
księdza pedofila z plaży zawinęły psy
summertime holocaust mixtape volume 3
napierdolony konkubent wali babę w kły

przyszło lato jebane i narobiło chlewu
wyruchało ci żonę i naszczało do zlewu
nie rób z Hitlera potwora, jestem gorszy od niego
zrobił jeden holocaust, ja już robię trzeciego
do baru podbiła jakaś tępa picz
zamówiła sobie drina 'sex on the beach'
plażowi barmani wzięli życzenie spełnili
bo są mili i sukę brutalnie zgwałcili
mów mi Kelly Rowland, weźmy cię cholera
to ci wezwę pogotowie SMSem przez excela
pijany jak bela duszę ludzkość w zarodku
strzelam se z mausera do jebanych noworodków
kotku znów mamy wakacje
noże, plaża i bolesne amputacje
Grecja, szkoda na to szmalu
po tym gównie śmiecie pojedziecie do monaru

summertime holocaust mixtape volume 3
księdza pedofila z plaży zawinęły psy
summertime holocaust mixtape volume 3
napierdolony konkubent wali babę w kły"
5,Chujowa Braga 3000 ,"bre

vamos a la playa pierdolony zjebie
gramy w cymbergaja starą babą po wylewie
i jebię na to co tam szmato o mnie pieprzysz
twoje hejty dla mnie to awans społeczny
tak jestem najlepszy wbijam się od kopa
robię kurwa meksyk to moja epoka
po tym co tu powiem będziecie mieć mnie za zboka
kocham skurwielu małe dziewczynki z tiktoka
jestem jakimś pojebanym typem
pospolite sprawy sprawiają mi trud
prędzej zrobię kurwa platynową płytę
jak zapoznam cipę i weźmiemy ślub
krewnych się nie tyka zapamiętałem sobie
jak pierdolę wasze matki ręce trzymam na głowie
robię przejebane tracki i pierdolę ten świat
na dole masz datę gdy w polsce zaczął się trap

pierwszy track ściero dawaj pliki
przed premierą tego nie było muzyki
twój idol jest nikim lata tu jak kukła
wóda narkotyki psycha mi się stłukła
pierwszy track boże jak to buja
sam beethoven może klękać mi do chuja
w renesansie szmato napruty szampanem
wymyśliłem całe te nuty jebane

psuję młodym głowę jak beretta
zesram się i zjem to byle by wyrwać się z getta
ruchałem się z dodą walę z oczu laserami
oddycham pod wodą i się bujam z gangusami
rzucamy się z psami jebanymi granatami
jestem lepszy nawet w operowaniu śmieciami
jakbym miał gablotę za pasażerami
miałbym nalepione ziomek że jadę z kurwami
strefa gazy to mój azyl moja wena
jakby mi się chciało bym rozjebał eminema
zjadłem kiedyś srakę popiłem tatrami dwiema
i mi smakowało lepiej jak ta pierdolona scena
nikt mnie do labelu nie wziął
wydam legal jak otworzą znowu Death Row
znowu palę i mam płytki-dech-flow
i ci szczerze życzę żebyś dzisiaj zdechnął

pierwszy track ściero dawaj pliki
przed premierą tego nie było muzyki
twój idol jest nikim lata tu jak kukła
wóda narkotyki psycha mi się stłukła
pierwszy track boże jak to buja
sam beethoven może klękać mi do chuja
w renesansie szmato napruty szampanem
wymyśliłem całe te nuty jebane"
6,Ciepłe dranie ,"e, skurwysynu, haha
gazeta wyborcza
george soros dzięki za pieniądze
to jest 2NP skurwysynu
bang, bang, bang
prawdziwe heterofoby szmato
nie pierdolimy się w tańcu
sratatatatatata skurwysynu

seks z pedałami, seks z pedałami
pchanie, obciąganie, dotykanie się chujami
sodomie oddani, poczuj skurwysynu bliskość
pała trze o pałę, można rozpalić ognisko
pierdolona dziwko put your penis in the air
każdy kto nie jest pedałem ten pierdolony cwel
strzel koledze laskę, nie bądź pierdolona ciota
duma i szacunek u nas cenniejsze od złota

druga zwrota chłopak, bo zaczynam z dupy strony
masz kobietę, pokaż, to zostaniesz wyjaśniony
poroniony świat, od lat zboczenia są plagą
jak tak może goły chłop z gołą babą nago?
zabawa ciupagą w lateksowych maskach
twardnieje mi laska przy piosenkach piaska
veni, vidi, vici uzbrojeni sodomici, żydzi
pozostają nici, dają analny wycisk
będziecie pokryci śmieciem, nie dożyjecie poranku
to pedalskie wojny gangów
drive by shooting pod jebanym kinem
strzelam do twej suki w święto walentynek
kuki to mizogin, teraz z drogi skurwysyny
ja pierdolę pierogi, bo podobne do waginy
odpierdolimy cię kurwo, a potem nagramy diss
real muthaphuckkin' g's, muthaphuckkin' g's

seks z pedałami, seks z pedałami
pchanie, obciąganie, dotykanie się chujami
sodomie oddani, poczuj skurwysynu bliskość
pała trze o pałę, można rozpalić ognisko
pierdolona dziwko put your penis in the air
każdy kto nie jest pedałem ten pierdolony cwel
strzel koledze laskę, nie bądź pierdolona ciota
duma i szacunek u nas cenniejsze od złota

nigdy nie włożyłem i nie włożę w kobietę
gdybym nie był żydem, kurwo, miałbym gówno za napletem
jesteś zwykłem petem, który minetę chlasta
masz dziewczynę, skurwysynu, jak jebany pederasta
na ulicach miasta pochód się zaczyna
polska rodzina - cwel i wazelina
adoptuję syna i założę mu sukienkę
każę przed ołtarzem poprosić kumpla o rękę
ho, gardzę twoją żoną
kręcą cię kobiety cwelu? jesteś jakiś homo
rozjebane sranie, pierdolone ciepłe dranie
zapodając twojej mamie, fantazjują o pudzianie
filuj na swoje kochanie, kocham strzelanie do bab
187 on the mothafuckin' slut
kolorowy świat, kolorowe skurwysyny
ulepione z pierdolonej kolorowej gliny

seks z pedałami, seks z pedałami
pchanie, obciąganie, dotykanie się chujami
sodomie oddani, poczuj skurwysynu bliskość
pała trze o pałę, można rozpalić ognisko
pierdolona dziwko put your penis in the air
każdy kto nie jest pedałem ten pierdolony cwel
strzel koledze laskę, nie bądź pierdolona ciota
duma i szacunek u nas cenniejsze od złota

seks z pedałami, seks z pedałami
pchanie, obciąganie, dotykanie się chujami
sodomie oddani, poczuj skurwysynu bliskość
pała trze o pałę, można rozpalić ognisko
pierdolona dziwko put your penis in the air
każdy kto nie jest pedałem ten pierdolony cwel
strzel koledze laskę, nie bądź pierdolona ciota
duma i szacunek u nas cenniejsze od złota"
7,Córka mi zmarła ,"córka mi zmarła
chowamy dzisiaj małego skarba
cały domestos w domu zeżarła
jest biała trumna mała jak dla karła
córka mi zmarła
za moje grzechy wróciła karma
wybuchy płaczu jak huki armat
jest biała trumna mała jak dla karła

córka nie żyje, zgon czterolatki
los zadaje cios, który kładzie na łopatki
muszę ją zakopać, kupić mogiłę i kwiatki
pierdolone życie, znowu jebane wydatki
ledwo łapie pion, poszła do nieba jak dron
skurwysynu to jest retro dziecko zgon
drę się w niebogłosy, pytam się 'dlaczego'
a grabarze bawią się z nią w jebanego chowanego
łoho nie mam siły płakać
pozdrów od tatusia notoriusa i 2paca
taka sytuacja chuje, córka mi nie żyje
nic nie reaguje kurwa gdy ją szturcham kijem
mieliśmy pojechać na wakacje obiecane
słowa dotrzymuję, dziecko będzie zakopane
to jak sprawa katarzyny w w w
jak masz żywe dziecko ciągnij lachę psu psu psu

córka mi zmarła
chowamy dzisiaj małego skarba
cały domestos w domu zeżarła
jest biała trumna mała jak dla karła
córka mi zmarła
za moje grzechy wróciła karma
wybuchy płaczu jak huki armat
jest biała trumna mała jak dla karła

czemu córka nie zje owsianki z miseczki
bo nie żyje kurwa jak zbigniew wodecki
czemu córka leży i patrzy się pusto
bo nie żyje kurwa tak jak whitney houston
dramat w rodzinie, brakuje mi jej
córka nie żyje, żałoba że hej
luzuję se krawat bo to sprawa nieciekawa
co jest córka kurwa, wstawaj nie udawaj
łohoho stypa wyprawiona
walę wódę ziomal, jesteś z nami piona
łohoho zaraz dziwko skonam
zapierdolę zgona tak jak córka pierdolona
zjadła domestosa, dziwko jebać
była głodna a w domu nie było chleba
bajeruję świnie w czarnych kieckach
nie ma nic gorszego jak chowanie dziecka

córka mi zmarła
chowamy dzisiaj małego skarba
cały domestos w domu zeżarła
jest biała trumna mała jak dla karła
córka mi zmarła
za moje grzechy wróciła karma
wybuchy płaczu jak huki armat
jest biała trumna mała jak dla karła"
8,Dzieckorolka ,"Dzieckorolka! Dziecko pod nogami jęczy, 
grindy, flipy, slajdy na poręczy. 
Chce mieć wyniki, robię sobie triki, 
pędzę ulicą na dziecku z Afryki. 
Dzieckorolka! Wkręcam w gnojka tracki, 
jak robię flipa wypadają flaki. 
Rany i siniaki, otwarte złamania, 
ważne mieć zajawkę, wakacyjna bania. 

Sport to zdrowie, niekoniecznie, robię triki małym dzieckiem 
skaczę sobie po głowie dzieciaka jakbym tańczył krakowiaka. 
Sadystyczne mam zapędy, deskorolka gubi zęby 
wciskam buty w małe ciało, dziecko całe się osrało. 
Zajebało, niezły fetor, lecą iskry, dzieciak siny.
Potylica trze o beton, z bólu stroi śmieszne miny. 
Skurwysyny deska się starła jak nie ma dzieci to weź se karła. 
Ucho zwisające na agrafce, suko zajebie slajda na ławce. 
To jest dzieckorolka, a nie żaden kurwa kanadyjski klon. 
Jak boli to sorka, dobra zabawa przede wszystkim, ziom. 
Ujebany krwią mówię do dzieciaka żyj. 
Lubię patrzeć pod nogi na ten rozpierdolony ryj. 
Zostawiam ślady krwi, all eyes on me dzieciaczki. 
Pierdole vansy i wkładam laczki do wspinaczki. 
Ludzie są trochę źli, bo nie kminią tej zajawki. 
Dzwonią na psy, nie jestem zły jak jebani palacze trawki. 

Dzieckorolka! Dziecko pod nogami jęczy, 
grindy, flipy, slajdy na poręczy. 
Chce mieć wyniki, robię sobie triki, 
pędzę ulicą na dziecku z Afryki. 
Dzieckorolka! Wkręcam w gnojka tracki, 
jak robię flipa wypadają flaki. 
Rany i siniaki, otwarte złamania, 
ważne mieć zajawkę, wakacyjna bania. 

Dzieckorolka, siedzę w sportach wyczynowych, 
sram na prawa dziecka, przestać nie mam mowy. 
Krew się leje z głowy jadę sobie skurwysyny. 
Kupuję za grosze dzieci z Palestyny. 
Z Kongo, Ukrainy mamy szmato wolny rynek. 
Skaczę z pięciu schodów gnojek pozbył się jedynek. 
Mały skurwysynek ujebał mi całe buty.
Biorę kolejnego bo ten chyba jest zepsuty. 
To jest szmato dzieckorolka, znowu wkręcam w dziecko tracki, 
staje nogami na gnojka, zapierdalam cztery paki. 
Teraz skatepark, jadę sobie, 
mów mi dziwko Rodney Mullen,
Krzyk mózgowy, straszne bóle, nie przejmuję się w ogóle. 
Tak właśnie tak, ściero mam taką zajawkę. 
Nie jestem cipa, zrobię kickflipa i przeskoczę sobie przez ławkę. 
Mam żywą zabawkę dziwko, która szybko się psuje. 
Skatepark w San Francisco, letni klimat czuje. 

Dzieckorolka! Dziecko pod nogami jęczy, 
grindy, flipy, slajdy na poręczy. 
Chce mieć wyniki, robię sobie triki, 
pędzę ulicą na dziecku z Afryki. 
Dzieckorolka! Wkręcam w gnojka tracki, 
jak robię flipa wypadają flaki. 
Rany i siniaki, otwarte złamania, 
ważne mieć zajawkę, wakacyjna bania."
9,Epilepsja w dyskotece ,"ehh ehh epilepsja
ehh ehh epilepsja
ehh ehh epilepsja
ehh ehh epilepsja

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece

mam padaczkę od wiеlu lat
taneczny parkiet to mój cały świat
pracuję sobie na budowie ziomuś
jako jebane mieszadło do betonu
dzisiaj mam w to wbite
no bo skurwysynu mamy weekend
idę na zabawę a nie stypę
niechaj dj zapuszcza muzykę
taniec, kluby, disco, to moja przystań
trzepię się tu dziwko jak onanista
czterysta świateł wywołuje atak
leżę na glebie, miota mną jak szatan
shake, shake, shake, jak jebane marakasy
nie chcę pogotowia bo zapierdalają w pasy
shake, shake, shake, wezwij tylko pogotowie
to ci skurwysynu potem poskaczę po głowie

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece

żadna salsa czy rumba zawadiacka
królowa tańca to jebana padaczka
łapię cię znienacka jest kozacka w chuj
nie stój tak kurwa parkiet jest twój
epilepsja skurwysynie
niech ten atak mi nie minie
rozpierdolę sobie dynie
i pogryzę twoją świnie
pa pa pa pa pa pa pa padaczka
pełzam jak jebana żmija
pa pa pa pa pa pa pa padaczka
leci gęsta piana z ryja
ludzie w szoku odbiera im mowę
kładą mnie na boku i zabezpieczają głowę
to mega chujowe tańczę proszę mnie zostawić
wypierdalać śmiecie jak się nie umiecie bawić

weź mnie do domu kochanie (ahh ahh ahh ahh)
weź do wanny mam dziś branie (ahh ahh ahh ahh)
dosyp proszku wrzuć ubranie (ahh ahh ahh ahh)
to ci kurwo zrobię pranie (ahh ahh ahh ahh)

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece

epilepsja w dyskotece
nic nie robię sobie z zaleceń
skończyły się leki w aptece
epilepsja w dyskotece
epilepsja w dyskotece"
