,Title,Lyrics
0,1932 ,"Gdziekolwiek ja ruszę się, widzę samo zło
Ilekroć gdy spojrzę tam, tam ogarnia mnie mrok
Proszę o pomoc tych, co pomocy pragną
Sam siedząc pod murem z gwiazd ja czekam, na jałmużnę czekam

I nie mam co jeść, nie mam co pić
A mam w tej historii być, mam długo, długo żyć
Bo Berlin trzydziestych lat taki jest jak cały świat
Berlin trzydziestych lat taki jest jak cały świat"
1,45,"Towarzysze, obywatele,
Ludu pracujący stolicy!
Towarzysze, (towarzysze), (towarzysze),
Obywatele, (obywatele), (obywatele).
Ludu, (ludu), ludu pracujący stolicy!

Pokażcie, co potraficie,
Pokażcie, co potraficie,
Pokażcie, co potraficie,
Pokażcie, co potraficie,
W wyszkoleniu wojskowym i sporcie.

Pierwszy sekretarz KC,
Odnosi się z szacunkiem i zaufaniem,
Do opinii społecznej.
Społeczeństwo odwzajemnia się,
Tym samym.

Wstyd mi,
Wstyd mi,
Wstyd mi,
Wstyd mi, 
Za tych z Radomia..

Zrozumiałem, że to koniec..

Nie zgodzimy się nigdy na to,
Ażeby to,
Ażeby te podstawy naszego,
Każdego z nas, z osobna,
Dobrobytu.

Razem z nami w nowy czas!

Ludu - do roboty!
Ludu - do roboty!
Ludu - do roboty!
Ludu pracujący stolicy,
Raz, dwa - do roboty!

Powstaje pytanie,
Powstaje pytanie,
Kto, kto, kto, kto, kto,
Kto, kto, kto, kto, kto,
Kto za tym wszystkim stoi?

O czym, o czym,
O czym, o czym,
O czym, o czym,
O czym, o czym,
O czym tu mówić?

Są granice, których przekroczyć nie wolno!
Są granice, których przekroczyć nie wolno!
Są granice, których przekroczyć nie wolno!
Są granice, których przekroczyć nie wolno!
Są granice, których przekroczyć nie wolno!

Dziękujemy wam,
Dziękujemy wam.
I życzę dobrego wypoczynku,
I życzę dobrego wypoczynku,
I życzę dobrego wypoczynku.

Dziękujemy wam serdecznie
I życzę dobrego wypoczynku.
Dziękujemy wam serdecznie,
Dziękujemy wam,
Dziękujemy wam.

(12x)
Dziękujemy wam.

(c) 1990"
2,6 lat później ,"Słońce już zaszło, jest wieczór na niebie e,G 
Odprowadzam teraz do domu Ciebie G,D 
Lecz zanim zaczniesz myśleć o tym, co się stało 
Proszę Cię, spotkajmy się rano 
Już od tylu lat patrzę w Twoje oczy 
Ty wiesz, że mnie niczym nie zaskoczysz 
Nie ma powodu do zazdrości 
Czasem chciałbym nie mieć litości 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Ważny czuję się, gdy obejmę Cię ramieniem 
Nie jesteśmy w niebie, chodzimy po ziemi 
To wszystko, co stało się przez ten czas 
Jest w Tobie i we mnie, zostało w nas 
I czasem gdy się budzę i mogę być zły 
Ale to nie zmienia niczego, a Ty 
Możesz poczuć czasem brak mojej solidności 
Lecz zrozum, nie ma wolności bez miłości 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Nowy dzień się zaczyna i słońce wschodzi 
Uważajmy, by się nie rozłączyć 
I nowe rzeczy w sobie teraz odkrywamy 
To nieprawda, że do końca się znamy 
Czasem bardzo niewiele czasu jest potrzeba 
By zburzyć wszystko i wszystko pogrzebać 
Zrozumieć trzeba, jak groźne są pozory 
Przecież nie ma miłości bez pokory 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Dla Ciebie 
O tym ja mówić chcę 
Długo i głośno 

Księżyc zachodzi, nowy dzień się przebudzi 
Zimnica może w każdym coś ostudzić 
Pomyślmy, jak wiele trzeba mądrości 
By stopić się w jedności 
Już od tylu lat patrzę w Twoje oczy 
Czy myślisz jednak, że mnie czymś zaskoczysz 
I złe dni bywają w bezmyślnej złości 
Czasem jesteśmy bez litości 

(x5) Dla siebie  
O tym ja mówić chcę  
Długo i głośno"
3,A gdy będę umierał ,"A gdy będę umierał 
To nie przyjdzie generał 
Ziewnie z cicha dyrektor 
Bo umiera byle kto 
Serce pluśnie w staw ciszy 
Doktór papier podpisze 
Szakal z hieną z kantorka 
Złożą rzeczy do worka 
Żona przyjdzie w welonie 
Masz przepustkę Charonie 
Złoty ząbek zostawić 
Piórko z głową poprawić 
A gdy będę chowany 
Syn zapłacze pijany 
Zdepcze szarfy dostojne 
Potem pójdzie na wojnę 
Na cmentarzu pod murem 
Słońce zajdzie za chmurę 
Drobny deszczyk pokropi 
Pamięć moją zatopi 
A na stypie z bigosem 
Strasznym krzyknie ktoś głosem 
Wyjdziesz patrzeć kto woła 
Znajdziesz ciszę dookoła."
4,A kiedy nic was nie ochroni ,"A kiedy godność im oddadzą 
To wtedy staną jako stal 
A kiedy rozum odzyskają 
Zobaczą kto kogo się bał 
A kiedy wolność nam oddadzą 
Nie zapomnijcie o tym, że 
Tak wielu ludzi skrzywdziliście 
Zapłaty w końcu przyjdzie dzień 

A kiedy ranne wstaną zorze 
To wtedym wstanę jakom stał 
Na żywo takoż i w kolorze 
Będę na oku Was tu miał 
A kiedy tego domyślicie się 
I bać przestaniecie się już 
To sami w końcu zobaczycie 
Że Waszych wrogów pokrył kurz 

A kiedy nic Was nie ochroni 
Ani ojczyzna, ani Bóg 
Tak wielu ludzi tu skrzywdzono 
Kto im uczynić to zło mógł? 
Daliście sobie zabrać tyle 
Ile nie zabrał jeszcze nikt 
Ze strachu albo i z wygody 
Pozwoliliście aby znikł, ha! Ha!"
5,Ambitni piloci ,"Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Nie strach, nie błąd, nie krzyk 
Pracujesz bez usterek 
O, taki bezbłędny 
Czysty i elokwentny 
I, myślę, się nie obrazisz 
Że nie ma nic trudniejszego 
Niż znaleźć kogoś takiego 
Jak wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Nie strach, nie błąd, nie krzyk 
Pracujesz bez usterek 

Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 

Ty chcesz wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Nie strach, nie błąd, nie krzyk 
Pracujesz bez usterek 
O, taki bezbłędny 
Czysty i elokwentny 
I, myślę, się nie obrazisz 
Że nie ma nic trudniejszego 
Niż znależć kogoś takiego 
Jak wyżej, wyżej, wyżej, wyżej 
Masz wielkie ambicje 
Nie strach, nie błąd, nie krzyk 
Pracujesz bez usterek."
6,Amnezja ,"Amnezja to łatwo tak zapomnieć co i gdzie i jak
Amnezja to łatwo gdzieś tak swoją pałę na przód nieść

Amnezja to łatwo jest zapomnieć skąd się jest i gdzie
Amnezja to łatwo tak swojemu bratu wleźć na kark

My na monopol mamy prawdę
Ja nie zabijam ani ja nie kradnę
A były przecież kiedyś piękne dni
Gierek, Jaruzel oraz my

To były sobie piękne czasy takie
To nawet wtedy papież był polakiem
Rozmontowaliśmy razem komunę
Lecz po co ja do dzisiaj nie rozumiem

Amnezja to łatwo gdzieś tak swoją pałę na przód nieść
Amnezja to łatwo tak swojemu ojcu wleźć na kark

Amnezja wygodnie jest zapomnieć skąd się jest i gdzie
Amnezja powiadam wam a ja się dobrze na tym znam

Podziemia się obecnie nie docenia
Chyba, że z jednego punktu widzenia
To były panie takie piękne dni
Wałęsa, Kuroń ja i ty

To były słuchaj czasy właśnie takie
Że z dumą można było być polakiem
Z dziedzictwem bojowego chrztu Lenino
I z palmą zdobywców Berlina

Amnezja to łatwo tak zapomnieć co i gdzie i jak
Amnezja to łatwo gdzieś tak swoją pałę na przód nieść

Amnezja to łatwo jest zapomnieć skąd się jest i gdzie
Amnezja to łatwo tak swojemu bratu wleźć na kark

Podziemia się obecnie nie docenia
Kto pyta ten rolę swoją przecenia
To były takie super, super chwile
Nie złodzieje rządzili lecz debile

Na olimpiadzie cały wór medali
Po ulicach zomowcy nas ganiali
Wyścig pokoju – trzecie miejsce w świecie
Ale wy o tym dzisiaj nic nie wiecie"
7,Amulet ,"Mam tu amulet, który chroni mnie 
Świadczącym będąc w walce dobra ze złem 
I nie wiem jak, i nie wiem kto 
Jak piorunochron koncentruje to zło? 

Zebrane zwały świadomości są 
Niczem projektor, znowu ""dobro - zło"" 
Nie mogę z wiekiem patrzeć na to w spokoju 
Weźcie mnie proszę do drugiego pokoju 

Przeżyłem tyle na ile mnie stać 
Ile znów można dawać, a ile brać? 
Czasami padam, lecz potem idzie wstać, 
Ile z pustego w próżne można wody lać? 

Mam tu pistolet, który chroni mnie 
Po której stronie walki dobra ze złem 
I nie wiem kiedy, i nie wiem gdzie 
Cała przygoda może zakończyć się? 

Wyprute grona naiwności tej 
Na wadze ważę w głupiej nadziei swej 
Nie mogę słuchać takiej bredni bez skutku 
Dopiszcie moje koszty w poczet rachunku 

Przeżyłem tyle na ile mnie stać 
Ile znów można dawać, a ile brać? 
Czasami padam, lecz potem idzie wstać 
Ile z pustego w próżne można wody lać? 

Mam tu amulet, który chroni mnie 
Świadczącym będąc w walce dobra za złem 
I nie wiem jak, i nie wiem kto 
Jak piorunochron koncentruje to zło? 

Poprzegrywane bitwy życia co noc 
Ze zwycięstwami dzielą łóżko i koc 
Nie jestem zdolny tak opisać tego stanu 
Proszę wypisać mnie z waszego bałaganu 

Przeżyłem tyle na ile mnie stać 
Ile znów można dawać, a ile brać? 
Czasami padam, lecz potem idzie wstać 
Ile z pustego w próżne można wody lać? 
Lać, lać, lać..."
8,Anarchia ,"Na wschodzie anarchia,
Na zachodzie anarchia.
System się pali i wali,
System pali się,
System pali się,
System pali i wali się.

Trupy w Salwadorze
I trupy w kolorze
System się pali i wali,
System pali się,
System pali się,
System pali i wali się."
9,Angelo Jacopucci ,"It was in 1979
I was a feeling good and felt all right
I've got my fist and believe in me
And Alan Minter against me
Oh no! Oh yeah!

I was beaten in the face, fingers into eyes
Nobody heard when my mother cries
Walking for money, money for bread
Angelo Jacopucci is dead!
Oh no! Oh yeah!

We like it
To do it now
We like it

And I've got a gun and I've got a fun
And I'll be the ruler of this land
I've got a gun and I've got a fun
So I'll be the ruler of this land
Oh no! Oh yes!

So, so, I stood in the dark, stood in the sea
I'm looking at my Love, You're looking at me
Which I have the desire to be like a fire
Open and see your eyes, open and see your tears
Oh no! Oh yes!

Go!

We like it
To do it now
We like it

We like it
To do it nooooooow!"
