,Title,Lyrics
0,(Beginning Of What's About To Happen) ,"In the middle of the Highway, 
As you ride down the road, 
Just get that feeling, 
It's all so black and bald. 
And then theres my face, 
When you're drivin the desert sand, 
Well open my hand, 
Well open up the land. 

Yeah. 

Well everyone now bring your car to me. 
From the mother of earth to the depth of the sea. 
Well dont raise any hand for me, 
When ya na na na na need me. 

Yeah. 

In the middle of the Highway, 
As you ride down the road, 
Just get that feeling, 
It's all so black and bald. 
And then theres my face, 
And a-drivin the desert sand. 
Well open my hand, 
Well open up the land. 

Yeah. 

Well everyone now bring your car to me, 
From the mother of earth to the depth of the sea. 
Well dont raise any hands for me, 
no no, 
When ya na na na na need me. 

Yeah."
1,100' ,"Step on it,
I beg you please,
Jus' 100' I'm on my knees,
It's the one you blow,
It's the one you show,
So then you know I'm right


There's been a place built for you,
Sit by the fire tell, me truths,
Don't blind my eyes turn them blue,
And then I'll dry my face on you

Step on,
I beg you please,
Jus' 100' so I freeze,
Drowning in that ice I fly,
It's a great white place,
And the heat's diseased

100'"
2,50 Million Year Trip (Upside Down) ,"I am drinking 
I am rolling (you can't stop me) 
I am hiding 
I am running (you can't stop me) 

But I'll never forget you (anyway) 
But I'll never forget you (anyway) 
But I'll never forget you (anyway) 
But I'll never forget you 

I am drinking 
I am rolling (you can't stop me) 
I am running 
I am rolling (you can't stop me) 

But I'll never forget you anyway 
But I'll never forget you anyway 
But I'll never forget you anyway 
But I'll never forget you 

See our family to realize 
As it's running down today 
I love the city love the day 

No fool for you 
In this I am 
I'm never gonna run about"
3,Allen's Wrench ,"[Verse 1]
Your subdivision has been plastic emotion

[Chorus]
It's all you get
It's all you get
It's all you get
It's all you get
Allen's wrench
It's all we get

[Bridge]
Always there
Man, you better never

[Verse 2]
'Cause I like the tension, magic mother potion

[Chorus]
It's all you get
It's all you get
It's all you get
It's all you get
Allen's wrench
It's all you get
Well, Allen's wrench
It's all you get
Well, Allen's wrench
It's all you get
Well, Allen's wrench
It's all we get

[Outro]
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench
Breathe up, man, Allen's wrench
Break soon, take, Allen's wrench"
4,Big Bikes ,"Here she comes a ridin 
Well burning down the street. 
Here she comes a fucking the boy, 
Hear the New York street 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch 
well on a big bike, 
big bike yeah. 

He is feelin' nasty, 
She is feelin' nice tonight. 
Hey baby, well, I want to cool you down. 
I need something tonight 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch 
On a big bike, 
Big bike yeah. 

Here she comes a ridin 
Well burning down the street. 
Here she comes a fucking the feet boy, 
Hear the New York street 

Cuz I want some pussy, 
Yeah yeah yeah yeah. 
From a back bitch (mmm) 
On a big bike, 
Big bike.... 
Big bike. 
Whose the? 

Yes you think it wide? 
Yes you, 
Yes you, 
Yes you CK... 
*Yeah*"
5,Black Widow ,"Give me now (x5)
Give me a way
Give me a fucking reason
A reason I should stay

Built for business or for pleasure
Any way you choose
It doesn't matter how or why
'Cause either way, you lose

Give me now (x5)
Give me a way
Give me a fucking reason
A reason I should stay

Built for business or for pleasure
Any way you choose
It doesn't matter how or why
'Cause either way, you lose

Yeah, yeah"
6,Born To Hula ,"Follow trails of you to here 
Every mile takes you my way 
Rolling faster if we can 

Tables turning all the time 
I'm the dog at your feet 
So we are it again 

You're the one 

Fucking have to wait a dime 
Different signals blinking my way 
Coming faster all the while 

You're the one 

Ain't it something, we're born to hula "
7,Catamaran ,"[Verse]
Smooth stones beneath me
Cool air surrounds
Soft and savoury
You can take me to God
You can take me to God

[Chorus]
No, it doesn't take your will
To set your brace on me
I never doubt your possibilities
Please let go of my sleeve

[Verse]
Smooth stones behind me
Cold air surrounds
Soft and savoury
You can take me to God
You can take me to God

[Chorus]
No, it doesn't take your will
To set your brace on me
I never doubt your possibilities
Please let go of my sleeve"
8,Conan Troutman ,"Feed my lungflower seed, 
You are gone and now I'm free (I'm free - yeah), 
Strip me down to nothing, 
Fuck me will free the vulture (make it fly), 

Burning my brain and burning my teeth (in the sun), 
100ř and burning my need (make it fly), 
Live the love that I have for you, 
Taking you life for want you (free) "
9,Day One ,"Don't be sad for what will never be
Be glad you didn't have to see
This time became a part of me
And now this burning memory

The sun will break the night till dawn
And then we'll tell some tales again
And when the time has come and gone
The wind will carry on and on
The wind will carry on and on
The wind will carry on and on"
