,Title,Lyrics
0,Achilles Last Stand ,"It was an April morning when they told us we should go 
As I turn to you, you smiled at me 
How could we say no? 

With all the fun to have, to live the dreams we always had 
Oh, the songs to sing, when we at last return again 

Sending off a glancing kiss, to those who claim they know 
Below the streets that steam and hiss, 
The devil's in his hole 

Oh to sail away, To sandy lands and other days 
Oh to touch the dream, Hides inside and never seen. 

Into the sun the south the north, at last the birds have flown 
The shackles of commitment fell, In pieces on the ground 

Oh to ride the wind, To tread the air above the din 
Oh to laugh aloud, Dancing as we fought the crowd 

To seek the man whose pointing hand, The giant step unfolds 
With guidance from the curving path, That churns up into stone 

If one bell should ring, in celebration for a king 
So fast the heart should beat, As proud the head with heavy feet. 

Days went by when you and I, bathed in eternal summers glow 
As far away and distant, Our mutual child did grow 

Oh the sweet refrain, Soothes the soul and calms the pain 
Oh Albion remains, sleeping now to rise again 

Wandering & wandering, What place to rest the search 
The mighty arms of Atlas, Hold the heavens from the earth 

The mighty arms of Atlas, Hold the heavens from the earth 
From the earth... 

I know the way, know the way, know the way, know the way (X2) 

Oh the mighty arms of Atlas, Hold the heavens from the earth."
1,All My Love ,"Should I fall out of love my fire in the night,
To chase a feather in the wind.
Within the glow that weaves a cloak of delight,
There moves a thread that has no end.

For many hours and days that pass ever soon,
The tides have caused the flame to dim.
At last the arm is straight the hand to the loom,
Is this to end or just begin?

All of my love,
All of my love,
All of my love,
To you now.
All of my love,
All of my love,
All of my love,
To you now.

The cup is raised the toast is made yet again.
One voice is clear above the din.
Proud Arianne one word my will to sustain,
For me the cloth once more to spin.

All of my love,
All of my love,
All my love,
To you now.
All of my love,
All of my love,
All of my love,
To you now.

Yours is the cloth mine is the hand that sews time.
His is the force that lies within.
Ours is the fire, all the warmth we can find,
He is a feather in the wind.

All of my love,
All of my love,
All of my love,
To you now.
All of my love,
Oh, yes.
All of my love,
To you now.
All of my love,
All of my love,
All of my love,
All of my love, love.
Sometime,
Sometime,
Sometime,
Sometime.
It's all, all, all, all,
All of  my love,
All of my love,
All of my love,
To you now.
All of my love,
All of my love,
All of my love,
To, to you, and you, an you, and yeah.
I get a little bit lonely
Just a little bit,
Just a little bit.
Just a little bit lonely
Just a little bit lonely"
2,Around And Around ,"I say the joint was rockin'
A goin' 'round and round
Yeah reelin' and a rockin' what a crazy sound
Well they never stopped rockin' till the moon went down

Twelve o'clock
Well the place as packed
Front doors was locked
Well the place was packed
When the police knocked
Both doors flew back
But they kept on rocking

Rockin' Going 'Round and around
Yeah reelin' and a rockin' what a crazy sound
A well they never stopped rockin' till the moon went down

Oh it sounds so sweet I gotta take me a chance
Rose out of my seat I just had to dance
Started movin' my feet well a clappin' my hands
Well the joint started

Rockin' Going 'Round and around
Yeah reelin' and a rockin' what a crazy sound
A well they never stopped rockin' till the moon went down

Twelve o'clock
Well the place as packed
Oh twelve o'clock
Well the place was packed
When the police knocked
Ouh Both doors flew back
Mama they kept on rocking

Rockin' Going 'Round and around
Yeah reelin' and a rockin' what a crazy sound
They never stopped never stopped never stopped never stopped never stopped 
Rockin' till the moon went down
(Powtarzajcie do końca)"
3,As Long as I Have You ,"I was born in darkness
I fought my way out to the blue - yeah!
Had to learn to stand up
Even when they scared me, out of, out of my shoes.

Let me tell you girl that you ain't a-never 
Seen nothin' yet
There ain't a thing in this world that I can't never get
Lord, you know, yeah
Lord, yeah
Give me a thunder upon you
And I turn it to stone
Let me put this world in the palm of your hand
Say you love me,
And I know that half the battle is won

Don't you worry 'bout nothin'
I said I love you babe.
Let me tell you girl
You ain't seen nothin' yet
There's not a thing in this world
I can never get
As long as I have your... love

Yeah, ma ma ma 
Don't it make you feel soo... fair, oh

I feel a little bit lonely, baby
But I never get a little lonely, baby
I said I'm gonna love you
Yeah, I'm a gonna think about
My darlin', darlin', darlin'
How I love you, oh

Every day I work so hard
I bring home my pay, 
But you want more
And people tell me baby, oh (...)

Na na na na na na na na,
Na na na na na na na na...


Born in darkness,
I fought my way back to the blue
I got a lot of sadness
People, when they scared me
Out of my shoes, yeah
Ah, let me tell you girl
That you ain't seen nothing yet
I can't find a thing in the world
That I can never, never, never...
I love, love you
I want my babe
I want my babe

Why don't you...
Why don't you hush, pretty baby, yeah
Every thing is gonna be fine
As long as I have, ah - you..."
4,Babe i'm gonna leave you ,"Babe, baby, baby, I'm Gonna Leave You. 
I said baby, you know I'm gonna leave you. 
I'll leave you when the summertime, 
Leave you when the summer comes a-rollin' 
Leave you when the summer comes along.

Ba-ba-ba-ba-ba-ba-baby, baby, I don't wanna leave you, 
I ain't jokin' woman, I got to ramble. 
Oh, yeah, baby, baby, I believin', 
We really got to ramble. 
I can hear it callin' me the way it used to do, 
I can hear it callin' me back home!

Babe, oh, babe, I'm gonna leave you.
Oh, baby, you know, I've really got to leave you. 
Oh, I can hear it callin 'me, 
I said don't you hear it callin' me the way it used to do?

I know, I know, I know I never, never, never, never, never gonna leave your babe, 
But I got to go away from this place, 
I've got to quit you, yeah 
Ooh baby, baby, baby, baby, baby, baby, baby, oh,
Don't you hear it callin' me? 
Woman, woman, I know, I know,
It feels good to have you back again,
And I know that one day baby, it's gonna really grow, yes it is. 
We gonna go walkin' through the park every day. 
Come what may, every day, oh

It was really, really good. 
You made me happy every single day. 
But now... I've got to go away!

Baby, baby, baby,
That's when it's callin' me,
I said that's when it's callin' me back home..."
5,"Baby, Come On Home ","There was a time, I used to call you on my very own 
We were so happy woman, Talkin' for hours and hours on the telephone 

Then one day, I set you up to walk right outta my life 
Leavin' me all by myself, All alone, to cry every night 

(Babe...) oooh, I want you to come back home yeah (come on home) 
(oooh yeah) Sweet little girl (ooh yeah, been gone so long) 
been away so long 

Now listen to me: I said I made up my mind 
Woman when you left me there, oh 
I was gonna find another sweet lover 
Who's gonna feel all of my... cares 

So I met a sweet little girl, Just about as nice as she could be, oh 
I fell in love with that woman, But she turned around, 
and did the same thing again to me... 

(Babe...) Baby, please come home (come on home) hoome yeah... 
I know, (ya been gone too long) been away so long 
(Babe...) I want you to please come home, oh (come on hooome...) 

So I made up my mind, I gonna crawl right back to you woman 
I'm gonna plead and plead and plead, yeah, 'Till you're here by my side 
I can't even walk down the same old streets we used to walk down 
'Cause I keep thinkin about all the good times 
Keep thinkin' about it, I wanna make you mine 

Babe, babe, babe, please (come on home, yeah) (come on home) 
(You've been gone too long)"
6,Black Country Woman ,"Hey, hey, mama, what's the matter here (X2) 
You didn't have to tell me that you love me so 
You didn't have to love me, mama, let me go 
Hey, hey, mama, what's the matter here 
You didn't have to make me a total disgrace 
You didn't have to leave me with that beer in my face 
Hey, hey, mama, what's the matter here 
That's alright, it's awful dog-gone clear. 

Hey, hey, baby, why you treat me mean (X2) 
You didn't have to crucify me like you did 
You didn't have to tell me I was just your kid 
Hey, hey, mama, why'd you treat me mean 
You didn't have say you'd always be by my side 
Y' didn't have to tell me you'd be my blushin' bride 
Hey, hey, mama, why you treat me mean 
But that's alright, I know your sisters, too 

You didn't have to tell me that you love me so 
You didn't have to leave me, mama, let me go 
Hey, hey, mama, what is wrong with you 
You didn't have to leave me like a total disgrace 
You didn't have to leave me with that beer on my face 
Hey, hey, mama, what is wrong with you 
But that's alright, I'd be the same way, too 

You didn't have to crucify me like you did 
You didn't have to tell me I was just your kid 
Hey, hey, mama, what's the matter here 
You didn't have to tell me you would be my own 
You didn't have to tell me, baby, let me go 
Hey, hey, mama, what is wrong with you 
That's alright, I know your sister, too. 
What's the matter with you, mama"
7,Black Dog ,"Hey, hey, mama, said the way you move, 
gonna make you sweat, gonna make you groove.
Oh, oh, child, when you shake that thing
gonna make you burn, gonna make you sting.
Hey, hey, baby, when you walk that way,
watch your honey drip, I can't keep away.

[Chorus:]

Ah yeah, ah yeah, ah, ah, ah.
Ah yeah, ah yeah, ah, ah, ah.

I gotta roll, can't stand still,
got a flaming heart, can't get my fill
Eyes that shine burning red,
dreams of you all through my head.

Ah ah ah ah ah ah ah ah ah ah ah ah ah.

Hey baby, oh baby, pretty baby,
Tell me would you do me now.
Hey baby, oh baby, pretty baby,
Move me while you groove me now

Didn't take too long 'fore I found out,
what people mean by down and out.
Spent my money, took my car,
started telling her friends she gonna be a star.
I don't know but I been told,
a big-legged woman ain't got no soul.

[Chorus]

All I ask for when I pray,
steady rollin' woman gonna come my way.
Need a woman gonna hold my hand,
won't tell me no lies, make me a happy man.

Ah ah Ah ah ah ah Ah ah ah ah Ah ah ah"
8,Black Mountain Side ,
9,Boogie With Stu ,"Been in town, my baby, We just got to rock on 
Yeah, darling, we just got to go home 
I don't want no tutti-frutti, no lollipop 
Come on, baby, just rock, rock, rock. 

Yeah-yeah-yeah-yeah, honey 
We've been shakin' all night 
Oh, darlin', we just got to roll right 
Ooh, my head... rock on. 

Hey babe, hey babe (repeat) 

I don't want no tutti-frutti, no lollipop 
Come on baby, just rock, rock, rock."
