,Title,Lyrics
0,2 x 4 ,"I'm gonna make you, shake you, take you
I'm gonna be the one who breaks you
Put the screws into you, yeah, my way
Yeah, come on and come on, come and make my day
Oh, make my day

Got some hell to pay you, I steal your thunder
The joy of violent movement, pulls you under
Ooh, Bite the bullet, well hard
Yeah, but I bite harder, so go too far
Too far

Friction, fusion, retribution
I can't hear you, talk to me
I can't hear you, so talk to me
I can't here you, are you talking to me
I can't hear you, you talking to me
I can't hear you, trying to be my lord 
I can't hear you, talk to 2 by 4, hey

I'm gonna make you, shake you, take you
I'm gonna be that one who breaks you
Put the screws into you, my way
Hey, come on and come on, come, make my day
Make my day

Friction, fusion, retribution
I can't hear you, talk to me
I can't hear you, so talk to me
I can't here you, are you talking to me, ooh
I can't hear you, you talking to me
I can't hear you, trying to be my lord 
I can't hear you, talk to 2 by 4, hey-hey

Yeah, talk to 2 by 4
It don't take no more
Come on, yeah
Come on, ooh

Come on and come on, o-ooh
Talk to 2 by 4
Talk to 2 by 4

Friction, fusion, retribution
I'm gonna make you talk to me
I'm gonna take you, ooh, so talk to me, hey
I can't hear you, are you talking to me, hey
I can't hear you, you talking to me
I can't hear you, trying to be my lord
I can't hear you, talk to, talk to 2 by 4
She don't take no more"
1,53rd    3rd ,"One Two Three Four 

 If you think you can, well come on man 
 I was a Green Beret in Vietnam 
 No more of your fairy stories 
 'Cause I got my other worries. 

 53rd and 3rd 
 Standing on the street 
 53rd and 3rd 
 I'm tryin' to turn a trick 
 53rd and 3rd 
 You're the one they never pick 
 53rd and 3rd 
 Don't make you feel sick ? 

 If you think you can, well come on man 
 I was a Green Beret in Vietnam 
 No more of your fairy stories 
 'Cause I got my other worries. 

 53rd and 3rd 
 Standing on the street 
 53rd and 3rd 
 I'm tryin' to turn a trick 
 53rd and 3rd 
 You're the one they never pick 
 53rd and 3rd 
 Don't make you feel sick ? 

 Then I took out my razor blade 
 Then I did what God forbade 
 Now the cops are after me 
 But I proved that I'm no sissy 

 53rd and 3rd 
 Standing on the street 
 53rd and 3rd 
 I'm tryin' to turn a trick 
 53rd and 3rd 
 You're the one they never pick 
 53rd and 3rd 
 Don't make you feel sick ? 

 53rd and 3rd 
 come on man 

 53rd and 3rd 
 I'm a man baby 

 53rd and 3rd 
 your fairy stories 

 53rd and 3rd 
 have my other worries"
2,72 Seasons ,"Verse 1]
Feeding on the wrath of man
Shot down, traumatic
Time haunted by the past
Long gone, dogmatic
Although the die is cast
Shot down, volcanic
But what is gone is gone and done
Look back, psychotic
No chance before this life began

Pre-Chorus]
Staring into black light
Dominating birthright

[Chorus]
Wrath of man
Leaching through, split in two
Wrath of man
Crash into point of view
Wrath of man
Violence, inheritance
Wrath of man
Thrive upon, feeding on
Seventy-two seasons gone

[Verse 2]
Feeding on the wrath of man
Shoot back, erratic
Mad seasons take their toll
New mask, chaotic
Completely lost control
Shoot back, fanatic
Wither under looming shadow cast
Slip back, narcotic
Blinded by the ashes of the past

Pre-Chorus]
Staring into black light
Choking on the stage fright

[Chorus]
Wrath of man
Lеaching through, split in two
Wrath of man
Crash into point of view
Wrath of man
Violence, inhеritance
Wrath of man
Thrive upon, feeding on
Seventy-two seasons gone

[Bridge]
Piercing through, cut in two
Polarize
Point of view crash into
Paralyze

[Verse 3]
Feeding on the wrath of man
Man down, barbaric
Quick fire machine gun thoughts
Deep seed, stigmatic
Some have and some have not
Man down, demonic
No mercy from the ghost within
Turn back, hypnotic
There's breathing out, but not back in

Pre-Chorus]
Staring into black light
Permanently midnight

[Chorus]
Wrath of man
Leaching through, split in two
Wrath of man
Crash into point of view
Wrath of man
Violence, inheritance
Wrath of man
Thrive upon, feeding on
Seventy-two seasons gone

[Outro]
Feeding on the wrath of man"
3,Ain't my bitch ,"Outta my way
Outta my day 
Outta your mind and into mine 
Into no one
Into not one 
Into your step but out of time 

Head strong, what's wrong? 
I've already heard this song before
You arrived, but now it's time to kiss your ass goodbye 

Dragging me down
Why you around
So useless 
It ain't my fall
It ain't my call
It ain't my bitch 
It ain't my bitch 

Down on the sun
Down and no fun 
Down and out, where the hell you been 
Damn it all down
Damn it unbound 
Damn it all down to hell again 

Stand tall, can't fall 
Never even bend at all before
You arrived, but now it's time to kiss your ass goodbye 

Dragging me down
Why you around
So useless
It ain't my fall
It ain't my call
It ain't my bitch 

Outta my way

Outta my way
Outta my day
Out of your mind and into mine
Into no one
Into not one
Into your step but out of time

Head strong, what's wrong?
I've already heard this song before
You arrived, but now it's time to kiss your ass goodbye
And now it's time to kiss your ass goodbye

Dragging me down
Why you around
So useless
It ain't my fall
It ain't my call
It ain't my bitch

No way but down
Why you're around
No fooling

It ain't my smile
It ain't my style
It ain't my bitch
Oh, it ain't mine

Ain't mine
Your kind
You're stepping out of time

Ain't mine
Your kind
You're stepping out of time

Taking me down
Why you around
No fooling

It ain't my fall
It ain't my call
It ain't my bitch"
4,All Nightmare Long ,"(One, Two!)

Luck. Runs. Out. 
Crawl from the wreckage one more time 
Horrific memory twists the mind 
Dark, rugged, cold and hard to turn 
Path of destruction, feel it burn 
Still alive 
Incarnation 
Still alive 
Infamy 

Hallucination 
Heresy 
Still you run, what's to come? 
What's to be? 

'Cause we hunt you down without mercy 
Hunt you down all nightmare long 
Feel us breathe upon your face 
Feel us shift, every move we trace 
Hunt you down without mercy 
Hunt you down all nightmare long, yeah 
Luck. Runs. 

And you crawl back in 
But your luck runs out

(One, Two!) 

Luck. Runs. Out. 

The light that is not light is here 
To flush you out with your own fear 
You hide, you hide, but will be found 
Release your grip without a sound 

Still alive 
Immolation 
Still alive 
Infamy 

Hallucination 
Heresy 
Still you run, what's to come? 
What's to be?

'Cause we hunt you down without mercy 
Hunt you down all nightmare long 
Feel us breathe upon your face 
Feel us shift, every move we trace 
Hunt you down without mercy 
Hunt you down all nightmare long 
Luck. Runs. 

And you crawl back in 
But your luck runs out 

(One, Two, Three, Four!)

Then you crawl back in 
Into your obsession 
Never to return 
This is your confession 

Hunt you down without mercy 
Hunt you down all nightmare long 
Feel us breathe upon your face 
Feel us shift, every move we trace 
Hunt you down without mercy 
Hunt you down all nightmare long, yeah 
Luck. Runs. 

You crawl back in 
But your luck runs out 

Your luck runs out"
5,All within my hands ,"All within my hands

All within my hands
Squeeze it in, crush it down
All within my hands
Hold it dear, hold, it suffocates

All within my hands
Love to death, smack you 'round and 'round and
All within my hands
Beware

Love is control
I'll die if I let go
Love is control
I'll die if I let go

Hate me now 
Kill all within my hands
Hate me now
Crush all within my hands
Squeeze all within my hands
Choke all within my hands
Hate me now
Trap all within my hands
Hurry up and hate me now
Kill all within my hands again

All within my hands
Take your fear, pump me up
All within my hands
Let you run, then I pull your leash

All within my hands 

All within my hands
Under thumb, under to myself
All within my hands
Beware

Love is control
I'll die if I let go
Love is control
I'll die if I let go
Let it go

Hate me now
Kill all within my hands
Hate me now
Crush all within my hands
Squeeze all within my hands
Choke within my hands
Hate me now
Trap all within my hands
Hurry up and hate me now
Kill all within my hands again

I'll die if I let go
Control is love
Love is control
I'll fall if I let go
Control is love
Love is control

I will only let you breathe
My air that you receive
Then we'll see if I let you love me
I will only let you breathe
My air that you receive
Then we'll see if I let you love me
Aaaaahhhh!
Love is control

Hate me now
Kill all within my hands
Hate me now
Crush all within my hands again
Choke all within my hands
Squeeze all within my hands
Hate me now
Trap all within my hands
Hurry up and hate me now
Kill all within my hands again

Kill, kill, kill, kill, kill
Kill, kill, kill, kill, kill
Kill, kill, kill, kill, kill
Kill, kill, kill, kill, kill
Kill, kill, kill, kill, kill
Kill, kill
Kill
Kill, kill, kill, kill
Kill, kill, kill, kill, kill
Kill!"
6,All Your Lies (Soundgarden cover) ,"All your fears are lies
All your fears are lies
All your fears are lies

All your fears are lies

See through your
Tripless, falling, limping, crawling,
Biting, fighting, back from dying
Endless ending, comprehending
Nothing of the sin she's sinning

Loosely buying your cheating, your lying
Will make it mine
While never crying
Corralled like a cat
With my head in a sack
And I feel like I'm tied to a railroad track"
7,Am I Evil ,"My mother was a witch, she was burned alive
 Thankless little bitch, for the tears I cried
 Take her down now, don't want to see her face
 All blistered and burnt, can't hide my disgrace

 Twenty seven, everyone was nice
 Gotta see 'em, make 'em pay the price
 See their bodies out on the ice
 Take my time

 Am I evil?
 Yes I am
 Am I evil?
 I am man
 Yes I am

 As I watched my mother die, I lost my head
 Revenge now I sought, to break with my bread
 Takin' no chances, you come with me
 I'll split you to the bone, help set you free

 Twenty seven, everyone was nice
 Gotta see 'em, make 'em pay the price
 See their bodies out on the ice
 Take my time

 Am I evil?
 Yes I am
 Am I evil?
 I am man
 Yes I am

 On with the action now, I'll strip your pride
 I'll spread your blood around, I'll see you ride
 Your face is scarred with steel, wounds deep and neat
 Like a double dozen before ya, smells so sweet

 Am I evil?
 Yes I am
 Am I evil?
 I am man

 I'll make my residence, I'll watch your fire
 You can come with me, sweet desire
 My face is long forgot, my face not my own
 Sweet and timely whore, take me home

 Am I evil?
 Yes I am
 Am I evil?
 I am man

 My soul is longing for, await my heir
 Sent to avenge my mother, sleep myself
 My face is long forgot, my face not my own
 Sweet and timely whore, take me home

 Am I evil?
 Yes I am
 Am I evil?
 I am man

 Am I evil?
 Yes I fucking am
 Am I evil?
 I am man"
8,Am I Savage? ,"Ooooh
Run away, the past will bite again
Ooooh
No matter where you dwell
You
Here again, a captive of the howl
You
Welcome back to hell

Faithful, as the full moon is rising
Beauty and the beast are colliding

Sharpened edge touch liquid flame
Deepened seed soaks anger's reign
Arching back, shape-shift derange
Father, how I watched you change

Am I savage?
Scratching at the door
Am I savage?
I don't recognize you anymore

Ooooh
Tooth is fang, twisting under skin
Ooooh
Foul tongue, black breath
Change
Snap inside, the beast about complete
Change
Soon infects the rest 

Faithful, as the full moon is rising
Beauty and the beast are colliding

Sharpened edge touch liquid flame
Deepened seed soaks anger's reign
Arching back, shape-shift derange
Father, how I watched you change

Am I savage?
Howling at the door
Am I savage?
I don't recognize you anymore

Ooooh
Inheritance, the past has bit again
Ooooh
The next heir of anarchy
Feel
Stretching skin so far beyond belief
I feel
The ever changing, you, in me

Am I savage?
Scratching at the door
Am I savage?
Howling evermore
Am I savage? 
I don't recognize you anymore
Anymore
Anymore
Am I savage?"
9,And Justice for All ,"...And Justice For All

Halls of justice painted green 
Money talking 
Power wolves beset your door 
Hear them stalking 
Soon you'll please their appetite 
They devour 
Hammer of justice crushes you 
Overpower 

The ultimate in vanity 
Exploiting their supremacy
I can't believe the things you say
I can't believe 
I can't believe the price you pay 
Nothing can save you 

Justice is lost 
Justice is raped 
Justice is gone 
Pulling your strings 
Justice is done 
Seeking no truth 
Winning is all 
Find it so grim 
So true 
So real 

Apathy their stepping stone 
So unfeeling 
Hidden deep animosity
So deceiving 
Through your eyes their light burns 
Hoping to find 
Inquisition sinking you 
With prying minds 

The ultimate in vanity 
Exploiting their supremacy
I can't believe the things you say
I can't believe 
I can't believe the price you pay 
Nothing can save you 

Justice is lost 
Justice is raped 
Justice is gone 
Pulling your strings 
Justice is done 
Seeking no truth 
Winning is all 
Find it so grim 
So true 
So real 

Lady Justice has been raped 
Truth assassin 
Rolls of red tape seal your lips 
Now you're done in 
Their money tips her scales again 
Make your deal 
Just what is truth?
I cannot tell 
Cannot feel 

The ultimate in vanity 
Exploiting their supremacy
I can't believe the things you say
I can't believe 
I can't believe the price we pay 
Nothing can save us

Justice is lost 
Justice is raped 
Justice is gone 
Pulling your strings 
Justice is done 
Seeking no truth 
Winning is all 
Find it so grim 
So true 
So real
Seeking no truth 
Winning is all 
Find it so grim 
So true 
So real"
