,Title,Lyrics
0,21st Century ,"All the creatures on the beaches
Making waves in a motion picture

Won't you keep this in between us
Search and seizure wake up Venus

The dollar bill will mentally ill bill
Mom and dad take your  don't be sad  pill

Turn the screw and twist my language
Don't forsake me I'm contaigious


There's a reason
For the 21st century
Not too sure
But I know that it's 
Meant to be
And that it's meant to be

It's my favourite combination
Coming down with the favoured nations
Deep rotation mutilation
Learn to give and take dictation
Oh, oh oh, oh oh, like Cain and Abel
Oh, oh oh, oh oh, it's time to run this table


There's a reason
For the 21st century
Not too sure
But I know that it's 
Meant to be
And that it's meant to be

Read me your scripture and
Read me your scripture
Read me your scripture and I will twist it

Show me your wrist and I
Show me your wrist and
Show me your wrist and I'll kiss it kiss it

Oh, oh oh, oh oh, like a Cain and Abel
Oh, oh oh, oh oh, it's time to run this table

Simple soldier hand it over
Stop and read what you just wrote her

Strangulation altercation
Oral sex and bird migration


There's a reason
For the 21st century
Not too sure
But I know that it's 
Meant to be
And that it's meant to be

There's a reason
For the 21st century
Not too sure
But I know that it's 
Meant to be
And that it's meant to be"
1,A Certain Someone ,"When will it come around
The wind that.... will inspire

When will it make a sound 
The sound... I desire 

'Cause we all need something to do 
A certain something... that's true 

Floating upstream I've seen 
The spider and the snake 
A trip without pause when 
I saw... my mistake 

'Cause we all need something to do 
A certain something... that's true 

All my life... I have known who I am 
A troubled man but I stand 

All my life I have seen what it means 
To be myself in this dream 

'Cause we all need something to do 
A certain someone... that's you"
2,A million miles of water ,"Broke down 
I found 
Even when you think you need a rest 
You will live to fight another round 

I know it's 
Too bad 
So sad 
All the things that we could've been 
And could've had 

Hey girl what sound 
A million miles of water 
That are flowing deep 
Beneath this ground 
Now I found you 
Right here 
A million miles of water 

You were 
My muse 
Just because you happen to have a bomb 
Doesn't mean you light the fuse 

I know that 
Mad girl 
Big lie 
Four years in and 
You never even said goodbye 

Hey girl what sound 
A million miles of water 
That are flowing deep 
Beneath this ground 
Now I found you 
Right here 
A million miles of water dear 

Hey girl what sound 
I want you to remember that 
Sometimes we have to go without 
Now I found you 
Right here 
I want you to remember dear 

We were 
Two of 
A funny kind so damn blind 
But now we got to never mind 

I know that 
This is 
The end 
We tried so hard 
But now I got to lose a friend 

Hey girl what sound 
A million miles of water 
That are flowing deep 
Beneath this ground 
Now I found you 
Right here 
A million miles of water dear 

Hey girl what sound 
I want you to remember that 
Sometimes we have to go without 
Now I found you 
Right here 
I want you to remember that 

Hey girl what sound 
A million miles of water 
That are flowing deep 
Beneath this ground 
Now I found you 
Right here 

Hey girl what sound 
I want you to remember that 
Sometimes we have to go without 
Now I found her 
Out here 
I want you to remember that"
3,Aeroplane ,"I like pleasure spiked with pain
And music is my aeroplane.
It's my aeroplane.
Songbird sweet and sour Jane
And music is my aeroplane.
It's my aeroplane.
Pleasure spiked with pain.
That motherfucker's always spiked with pain.

Looking in my own eyes, hey Lord
I can't find the love I want.
Someone better slap me
Before I start to rust
Before I start to decompose.
Looking in my rearview mirror.
Looking in my rearview mirror.
I can make it disappear.
I can make it disappear, have no fear.

I like pleasure spiked with pain
And music is my aeroplane.
It's my aeroplane.
Songbird sweet and sour Jane
And music is my aeroplane.
It's my aeroplane.
Pleasure spiked with pain.
That motherfucker's always spiked with pain.

Sitting in my kitchen, hey girl
I'm turning into dust again.
My melancholy baby,
The star of muzzy must
Push her voice inside of me.
I'm overcoming gravity.
I'm overcoming gravity.
It's easy when you're sad to be.
It's easy when you're sad...sad like me.

I like pleasure spiked with pain
And music is my aeroplane.
It's my aeroplane.
Songbird sweet and sour Jane
And music is my aeroplane.
It's my aeroplane.
Pleasure spiked with pain.

Just one note
Could make me float
Could make me float away
One note from
The song she wrote
Could fuck me where I lay
Just one note
Could make me choke
One note that's
Not a lie
Just one note
Could cut my throat
One note could make me die

I like pleasure spiked w/ pain
And music is my aeroplane
It's my aeroplane
Songbird sweet and sour Jane
And music is my aeroplane
It's my aeroplane
Pleasure spiked with pain

Aeroplane /x4

It's my aeroplane /x9"
4,Afterlife ,"Long live the king
The young grows old with his buffalo spring

I got a Tupelo and we're ready to go
We gonna hit it all night with the rock and a roll
And if I'm feelin' uptight, gonna leave it alone
We're gonna board up on the flight to the great unknown, well
That's all I'm saying now
Hear what I'm playing, yes
High on a light from above
You're somebody special, well
Someone to wrestle now
Take from the lake of your love

Long after we have been gone from this song
Well, the afterlife sings one for mе
Lost in the length of those warm-ass horizons
Thе afterlife knows where I'll be

We gonna get it up for the brotherly cup
And when I bring it on down with the Jamison Brown
Well, on a cold, cold night 'round a Baton Rouge
We gonna make it alright with Iggy the Stooge, well
Pull on my lever, it's
My guilty pleasure, yes
Born to live life on the run
Take from this river, and
Give to the ocean, yeah
They gave us more than enough

Long after we have been gone from this song
Well, the afterlife sings one for me
Lost in the length of those warm-ass horizons
The afterlife knows where I'll be

Long after we have been gone from this song
Well, the afterlife sings one for me
Lost in the length of those warm-ass horizons
The afterlife knows where I'll be
Long after we have been gone from this song
There will be something to see
My mother said there will be some surprises
The afterlife shows them to me"
5,American Ghost Dance ,"Oh give me a home
Where the buffalo roam
And the death of a race is a game
Where seldom is heard
A peacable word
From the white trash
Who killed as they came
Though these words dig deep
They offer no relief
God save the queen
I am an Indian chief
There is a secret I keep
It's called the talking leaf
And you better believe
That he speaks his beliefs
Like a rock that bleeds
A sea of grief
My talking leaf speaks of
A wounded knee creek

American ghost dance...

A new man who is with old ways
He walks the streets of life
But he's in chains
I'm alive he cried
I can feel the flame
Burning red inside
I am an Indian brave
There is a memory
That lives in my blood
Of the grand you laid
On all you touched
But the burning flame
Turns to burning pain
Genuine genocide
And that's truly insane
So like a wild hurricane
I will dance on the grave
Of my race that died
When it should have been saved

American ghost dance...

Oh give me a home
Where the buffalo roam
And the death of a race is a game
Where seldom is heard
A peacable word
From the white trash
Who killed as they came
Though these words dig deep
They offer no relief
God save the queen
I am an Indian chief
There is a secret I keep
It's called the talking leaf
And you better believe
That he speaks his beliefs
Like a rock that bleeds
A sea of grief
My talking leaf speaks of
A wounded knee creek

American ghost dance..."
6,Animal Bar ,"Never 21 when everyone's a sailor
Coming up strong at the animal bar
Ever loving mug of Mr. Norman Mailer
Turn another page at the animal bar
And it won't be long
No it won't be long
No it won't be long
Because it can't be long

I I I the cry of isolation
I I I the high of meditation
I I I for sweet precipitation
I I I the high of deprivation

And it won't be long
No it won't be long
No it won't be long
Because it can't be long

Rain on my frustration
Stake my claim now break this
Wash me down my station
Makes more rain forsaken
In between the sky and every piece of the earth
Runnin' through the mud
I gotta feeling of worth

All aboard the ship
'Cause you're gonna need an ark
When the wet comes down
You'll be swimming like a shark
Mopping up the stain and
I'm a little older
The song of rain
At the animal bar

And it won't be long
No it won't be long
No it won't be long
Because it can't be long

I I I the cry of isolation
I I I the high of meditation
I I I for sweet precipitation
I I I the high of deprivation

And it won't be long
No it won't be long
No it won't be long
Because it can't be long

Rain on my frustration
Stake my claim now break this
Wash me down my station
Makes more rain forsaken
In between the sky and every piece of the earth
Runnin' through the mud
I gotta feeling of worth

Raindrops will fall from the sky
Stealing their shape from your eye
Now we can all get some sleep
The water the water the water
Saving us from the heat

Some things will die in their place
Others will leave little trace
Fire will come find its day
The water the water the water
Washing it all away

Rain on my frustration
Stake my claim now break this
Wash me down my station
Makes more rain forsaken
In between the sky and every piece of the earth
In between the sky and every piece of the earth
In between the sky and every piece of the earth
In between the sky and every piece of the earth"
7,Annie Wants A Baby ,"Lucy Rebar
She's a friend of mine
Later she'll go
Back and redefine the line
It's getting longer all the time
Oh Yeah

Drinkin' sunshine
She likes the taste of it
She had a gold mine
But then she wasted it away
You should have seen her yesterday
Oh Yeah

Sing along the way
Nothing stops the ache

Sugar daddy
Loves her madly
Cosma shiva
Got off
Made you a believer
I don't need to
Tender
Why do I believe you
Annie wants a baby now
Annie wants a baby
Any way she can

Missing pieces
She's got a lot of them
Time decreases
I wish I thought of them - before
Before it's time
To close the store
Oh Yeah

Distillation
A lonely sycophant
Some liberation
The only CD
Ever played
I wanna help you
But I can't
No no

Sing along the way
Nothing stops the ache

Sugar daddy
Loves her madly
Love 'em leave 'er
Got off
Made you a believer
Neon soldiers
Left her
Now you've gotten older
Annie wants a baby now
Annie wants a baby
Any way she can

It's getting longer all the time
It's time to redesing the sign
Oh Yeah
Sing along the way"
8,Apache Rose Peacock ,"Sittin' on a sack of beans
Sittin' down in New Orleans
You wouldn't believe what I've seen
Sitting on that sack of beans

Lunatics on pogo sticks
Another southern fried freak on a crucifix
Hicks don't mix with politics
People on the street just kickin' to the licks

Yes my favorite place to be
Is not a land called Hanalei
Mentally or physically
I wanna be in the New Orleans

Oh good brother just when I thought
That I had seen it all
My eyes popped out, my dick got hard
And I dropped my jaw

I saw a bird walkin down the block
Name apache rose peacock
I could not speak I was in shock
I told my knees to please not knock

Yes my favorite place to be
Is not a land called Hanalei
Mentally or physically
I wanna be in the New Orleans

A little boy came along
Name was Louis Armstrong
Said that girl who left me silly
She liked the looks of me and my willy

So I found her in the quarter
Good God how I adored her
Oh she made me feel so cozy
When she told me I could call her Rosey

I kiss your hair your skin so bare
I'll take you with me girl anywhere
You felt well in stormy weather
I never met a girl that I liked better

Twinkle twinkle little star
Shining down on my blue car
Drivin' down the boulevard
She was soft and I was hard

Apache rose gotta rockin' peacock
Hottest ass on the god damn block
Rockin' to the beat of the funky ass meters
She has one of those built in heaters

I kiss your hair your skin so bare
I'll take you with me girl anywhere
You felt well in stormy weather
I never met a girl that I liked better

Voodoo gurus casting their spells
Cockatoo drag queens shakin' their bells
Silver sound escapes the trumpet
Watch your leg someone might hump it

Chicken strut your butt let's rock
Gettin' it on under your frock
Flowing like a flame all through the night
My girl's insane but it's all right

Yes my favorite place to be
Is not a land called Hanalei
Mentally or physically
I wanna be in the New Orleans"
9,Aquatic Mouth Dance ,"Looking back at the years gone by 
When The Message changed my life
Heavy metal the nest was dead 
Well and the rappers gave delight 
But I don't know who 
Was looking out 
For anyone like me and you 
Maybe it was Siouxsie Sioux

Day to day was the way we play 
Well everybody needs to eat 
Girl is gone and the front door too 
Well I guess we move our feet 
And I don't know why 
The color of your eyes 
Was stolen from the sky 
And earthquakes never need to lie

Aquatic mouth dance 
Is waiting for you 
Aquatic mouth dance
Is waiting for you now
Aquatic mouth dance 
Is waiting for you

Everyone and their best friend knew
That the west was overdue
Growing out of the fertile dirt
Well and the cracks were falling through
But I don‘t know what 
I'm looking for 
I only know the deepest cut 
It's coming from my gut

Parking lot of the old Starwood
Where the Misfits like to go 
Billy Zoom and his silver string 
Well it just might be John Doe 
And I don't know where 
I'm gonna sleep tonight 
Please tell me can you spare 
A pillow for my head and hair

Aquatic mouth dance 
Is waiting for you 
Aquatic mouth dance
Is waiting for you now
Aquatic mouth dance 
Is waiting for you

Pucker up for the hologram
I better find out who I am
Let it out with a downtown Scream
Because we need more space to jam
But I don't know how
To turn it down
I end up being so damn loud
Ah bend your brow, bend it now

Prototropical Sunday nights 
Smog flowers they don't bite 
Dirty skies never work so hard 
Better step to the Angels Flight 
And I don't know if
The embers of my burning flame 
Are from this spliff 
The greatest gift, the greatest gift

Peppered up
At the Cathay bash
With a 45 to split
Spilling beer is a good fountain
Like the milk from a mother's tit
But I don't know slow 
Someone has to come and teach me
Self-control
Or should I just say fuck it 
And we go"
