,Title,Lyrics
0,83rd Dream ,"Four crows nailed to a wooden post
Bleed upon a barren field
An old way that I don't understand
It kinda touched me for a day

Four crows nailed to a wooden post
Bleed upon a barren field
An old way that I don't understand
You know, it kinda touched me for a day

There are no bright skies
Where the eagle flies
Suddenly inside me, inside me
I don't need

I am alive
I am alive
Hey, hey

So psychedelic, driving over the sun
Past the still sky trees and fields
To the place the great relics have kissed you know
It kinda touched me for a day

There are no bright skies
Where the eagle flies
Suddenly inside me, inside me
I don't need

I am alive
I am alive

Hey, hey
Hey, hey
Hey, hey
..."
1,A Cut Inside ,"I don't wanna be
Caught up in your scene
So little left of me

I gave you everything, I crawled
Watched you dance 'cross the floor
I need something to believe in
They don't know my name
Take the blame
They will hold you
Bind and choke you

Caught in the lie
Tears in my eyes
Thorns of this life
Cut inside
No heathens in Heaven
No sweet surrender
Outsiders forever
The ghost of our lives

We will never be
Caught in your belief
Get up off your knees

You took everything, I crawled
Watched you dance 'cross the floor
I need something to believe in
They don't know your name
Take the blame

Caught in the lie
With tears in my eyes
The bones of this life
Cut inside
No heathens in Heaven
No sweet surrender
Outsiders forever
Ghosts of our lives

No heathens in Heaven
No sweet surrender
Outsiders forever
The ghost of our lives"
2,A flower in the desert ,"Wait a minute, my friend
Don't pass me up for dead
As Babylon crumbles to sand
A sweet flower blossoms in my hand
Another day is ending for you
Another day

While I'm alive, you see my rivers flowing
Don't wanna be like you
There are no wild beasts in here, I know
There are no wild beasts in here, we know

And a voice of the people cries
As it drones on in monotone
Here is the news, it's all so sad, sad
Ooh, and those black and whites
But thy knew it
Took a few and those panties in acquainted ways
Come on
Come on
Come on away, yeah

Wait a minute, my friend
Don't pass me up for dead
As Babylon crumbles to sand
A sweet flower blossoms in my hand
Another day is ending for you
Another day, another day

I'm alive
You see my body burning
Burning up in here
There are no others in here, I know
There are no others in here, oh no
Burning up in here
You know, you know

Step a little closer
I wonder if you can
Remember me in this way"
3,A Pale Horse ,"Behold a grey horse
Death rides a pale horse
A crimson robed rider
With a whip in my hand

You in denim and leather
So louche and confused
With a wave in my hand
Ill crush your sweet skill

Yeah, you dont stand a chance

Mercy going to cut you right where you stand

Love in the shadows waiting
Hiding in the shadow waiting
Love in the shadows waiting for you
Love in the shadows waiting, waiting for you

Behold a grey horse
Death rides a pale horse
A crimson robed rider
With a whip in my hand

You should have killed me the first time
Going to live to regret it
Well, you dont stand a chance
Keep on, little hipster

Lord, have mercy
Going to cut you right where you stand

Love in the shadows waiting
Hiding in the shadow waiting
Love in the shadows waiting for you
Love in the shadows waiting, waiting for you

Love in the shadows waiting for you
Love in the shadows waiting, waiting for you

Death hides in the shadows, you got the fear
Death hides in the shadows, you got the, got the, got the fear

Lord, have mercy
Going to cut you right where you stand

Love in the shadows waiting
Hiding in the shadow waiting
Love in the shadows waiting for you
Love in the shadows waiting, waiting for you

Love in the shadows waiting
Hiding in the shadow waiting
Love in the shadows waiting for you
Love in the shadows waiting, waiting for you"
4,All souls avenue ,"Woke up this morning
My head felt like a warzone
A mess of excess last night
If I get to the weekend
I'm sure I'll find paradise, Oh yeah

Jesus and bullets spinnin' round my head
Do you know my karma is cut up into shreds?
I've been searchin' for such a long time
I need that peace of mind
Peace of mind yeah

All the time I wonder
Where can I find this place?
All the time I wonder
Did I ever fall from your grace?

I got up this morning
My head felt like a warzone
A mess of excess last might
I know if I get to this weekend
I'm sure I'm gonna find paradise, Oh yeah

Jesus and bullets spinnin'
Round my head
Do you know my karm is cut up into shreds?
I've been searchin for such a long time
I need that peace of mind
Peace of mind, Oh Yeah"
5,American gothic ,"I look inside your black heaven
I see your naked altar there, yeah, yeah-yeah
They rip you down and criticize you
Too strong to bend, too strong to care, oh-oh, oh
Black star, white light
Black star, white light
Eating the cancer cells from the death machine
Black star, white light
Black star, white light
Eating the cancer cells from the death machine
American gothic raven boy
Child monster with insect hair, yeah, heh-heh
You destroy this moral prison
You free the slaves, you free the slaves
You free the slaves, you free the
Black star, white light
Black star, white light
Eating the cancer cells from the, the death machine
Black star, white light
Black star, white light
Eating the cancer cells from the, the death machine
Black star, white light
A black star, white light
A black star, white light
A black star, white light
American gothic, your black heaven
American gothic, your black heaven, yeah, your black heaven
American gothic, your black heaven, yeah, your black heaven
American gothic, it's your black heaven, your black heaven
Black star, white light
Black star, white light
Eating the cancer cells from the, the death machine
Black star, white light
Black star, white light
Eating the cancer cells from the, the death machine
American gothic
American gothic
American dream
Your black heaven
Your black heaven
Your black heaven"
6,American Horse ,"Oh yeah
Oh yeah
Yeah, yeah, yeah
Well, well, well, well

Stick it in your ear 'cause it ain't exactly clear
What you people hear, I tell you that's right, oh yeah
Sucker in the middle blowing hot and cold
Cracking his whip on the American horse

He's gone crazy, completely crazy
Trying to tame the American horse, well
He's gone crazy, completely crazy
Trying to tame the American horse, well

Feather in his mane showing no fear of a twisted shady fool
I tell you that's right, that's right
Truth's a mighty clear forever on and on
Never break a spirit of the American horse, well
Don't you shoot him down

He's gone crazy, completely crazy
Trying to tame the American horse
He's gone crazy, completely crazy
Trying to tame the American horse, yeah

He's gone crazy, completely crazy
Trying to tame the American horse
He's gone crazy, completely crazy
Trying to tame the American horse
Yeah, yeah, yeah

Crazy
On the day they tried to tame the American horse, yeah
Crazy
On the day they tried to tame the American horse, ow

Riding on a pony, riding against the wind
And in came Brando and he told it like this

Crazy, crazy, crazy momma"
7,Amnesia ,"Save what you learn
Suspicious soul to return.

Say my language is worth,
All my senses are tone
Give my chamber a tremble
‘cause they’re coming back to me.
I was born to be underground,
Out from them all.
Don’t know the enter’s code
No matter what you think.

Save what you’ve learned
Suspicion returns.
Save what you learn
Suspicious soul to return.

Say my land to me
Swap all hell to me
The shock of reality
Lost my identity.
The words running back to me,
Now all I’ve got is care for free.
Came a heart like glue
And turning off and blue.

Save what you learn
Suspicion returns.
Save what you learn,
Suspicion is sure soon to return.

Watch it gone, remote control
Against the world, against the truth, against it all"
8,Aphrodisiac Jacket ,"Ow, ow, ow 

Sittin' on a mountain, looking at the sun
Plastic fantastic lobster telephone 

Drive on baby, through the electric night
All the way sister, in the taxi of life 

Cookin' in the kitchen, insects on the bone
Hazy, lazy, dream world drippin' on
Waitin' for a time bomb, yeah, tick tick tick away
Somethin' on the radio, yeah yeah, drip drip drip all day, yeah 

Drive on baby, through the electric night
All the way sister, in the taxi of light
The sunshine glows, but nobody knows
The nighttime's gone, keep drivin' on, yeah 

Aphrodisiac jacket
Napoleon machine gun
Livin' on a subway, yeah yeah
From dusk till dawn, yeah 

Push baby, push, push, push, yeah 

Sittin' on a mountain, we're looking at the sun
Plastic fantastic lobster telephone, yeah 

Drive on baby, through the electric night
All the way sister, in the taxi of light
The sunshine glows, but nobody knows
The nighttime's gone, keep drivin' on"
9,Ashes and ghosts ,"Ashes and ghosts are all around me, yeah on
On the night of the assassins, they came, and I was ready

Do you beleive?
Oh, yeah
Do you beleive?

I look around the world and see
The winged waifs powdered on petal dust
I can't believe the sorcerer's dream has come
And never chosen one of us

All around, the atoms raging
I can see your magic's failing
I do believe they're gonna get you
I do believe, can't cast a spell on me

Ashes and ghosts are all around me
I don't believe in what you're saying, no, no, no, no
Ashes and ghosts, they fill my heart
Can't cast a spell on me

Ashes and ghosts are all around me
You broke the truth and now you're fading
Ashes and ghosts, they fill my heart
You're a fake, yeah, you're a fraud

The assassin's hand has planned
To pull the wings off every one of us, yeah
Cracked fairy head's are spinning down
The blood shot eyes, nostrils flared at us

All around, the atoms raging
I can see your magic's failing
I do believe they're gonna get you
I do believe, can't cast a spell on me

Ashes and ghosts are all around me
I don't believe in what you're saying, no, no, no, no
Ashes and ghosts, they fill my heart
Can't cast a spell on me

Ashes and ghosts are all around me
You broke the truth and now you're fading
Ashes and ghosts, they fill my heart
You're a dog, you're a fake, you're a fraud

Can't cast a spell on me

Ashes and ghosts are all around me
I don't believe in what you're saying, whoa, oh-oh
Ashes and ghosts, they fill my heart
Can't cast a spell on me

Ashes and ghosts are all around me
You broke the truth and now you're fading
Ashes and ghosts, they fill my heart
You're fading, yeah, you're fading, fading

Don't believe in what you're saying
Can't cast a spell on me, oh-whoa, no, no, no, no
You broke the truth and now you're fading
Yeah, you're fading, yeah, you're fading, yeah, you're fading"
10,Automatic blues ,"Yeah
Ooh now baby, baby, baby, baby, baby

Hey there people, have you heard the news?
Ooh oh yeah
The world's on fire, I'm telling you, yeah, I'm telling you
Brothers and sisters everywhere, come together
People like you should
Ooh, like you should

Drive on people
Drive on people

Ooh, I never thought we'd get too far, yeah
Living on the wrong side talking 'bout life
Ow, yeah, yeah, yeah, yeah
Lovers and sinners, cats and fools
Shake it together, come on people, please, yeah

Drive on people
People drive on, say
Drive on people

I ain't no sucker, I ain't no fool
Talking about the automatic blues, yeah
I ain't no sucker, I ain't no fool
Talking about the automatic blues

Ain't no sucker, ain't no fool, no
Ain't no sucker, yeah, yeah, yeah, yeah
Come on and shake it, boy

Drive on people
People drive on, yeah
Drive on people, yeah, yeah, yeah, yeah
Drive on people
People drive on, say
Drive on people

I ain't no sucker, I ain't no fool
I'm talking about the automatic blues, yeah
I ain't no sucker, I ain't no fool
I'm talking about the automatic blues, now

I ain't no sucker, I ain't no fool
I'm talking about the automatic blues
I ain't no sucker, I ain't no fool
I'm talking about the automatic blues, yeah, uh"
11,Avalanche Of Light ,"I saw you running fast in a shard of moonlight
Saw you moving faster through the broken glass
Running through the hills with your death at your heels
All tripped out in your mirrors and feathers

They think they got you trapped but you're so much bolder
Love is everything, hate is smaller
Oh, heart of hearts
Oh, heart of hearts
And on it goes, the silence grows

I know in this life everything's wild, everything came from you
Look in your eyes, avalanche of light, so much more for fools
I know in this life, everything came from you
Feel in this life, everything's wild, everything came from you

Iggy softly weeps into your shoulder
His tears are warm, baby, but you're so much colder
Tears are falling down as you dance and dance
Bitches just want money but they'll soon get older

They think they got you trapped but you're so much bolder
Love is everything, hate is smaller
Oh, heart of hearts
Oh, heart of hearts
And on it goes, the silence grows

I know in this life everything's wild, everything came from you
Look in your eyes, avalanche of light, so much more for fools
I know in this life, everything came from you
Feel in this life, everything's wild, everything came from you
Came from you

Flash of the knife, your brilliant smile
There's more to this than blood and paper
They think they got you, you're so much bolder
There ain't no tome, you're so much wiser

I know in this life everything's wild, everything came from you
Look in your eyes, avalanche of light, so much more for fools
I know in this life, everything came from you
Feel in this life, everything's wild, everything came from you
Came from you
Everything came from you
Came from you
So much more for fools
I know in this life, everything came from you
Feel in this life, everything's wild, everything came from you
Came from you"
12,Bad fun ,"Bad fun sister
time to go
Life's too short
On with the show
I said
Get your kicks on the razor's edge
Atomic bomb overhead
Set controls for the sun
Bad fun baby just begun
Rhythm like a rumblin' train
Hit those skins
Explode my brain

[Chorus]
Spirit like a rumblin' train
Spirit of the thunderin' rain
Vibrations got you on the run
Electric child on bad fun

Mayhem children take no lip
Rev your engine from the hip
Yeah nighttime, 
she's callin' you
Ghetto star 
you'll go far
Dress up in your fancy clothes
Set good times to overload
Rhythm like a rumblin' train
Hit those skins, explode my brain

[Chorus]

[Chorus] [x3]
Yeah
Ow
Ow
Yeah"
13,Bad Medicine Waltz ,"It's funny how people stare
When your back's against the wall
It's funny how people stare
When your back's against the wall

I reach out my hand, I reach out my hand
For that bad medicine

The crowds are full of heroes, propping up the mark
With their empty goals, it's starting
And it's raining and the porno burns my eyes
Wipe away the tear with the skin from my hide

Don't you give into that bad medicine
Keep on smiling

It's funny how people stare
When your back's against the wall
Oh, it's funny how people stare
When your back's against the wall

I've heard about this new world you're building
But will there be room for me? It's starting
And it's raining and the porno burns my eyes
Wipe away the tear with the skin from my hide

Reach out for that bad medicine
Ooh, feel your skin burn, feel your soul turn
Don't you give into, don't you give into
That bad medicine, bad medicine

Smile, it may take a while
But it's better than being nailed to the floor
Spit in their face if they stare while you're down

Don't reach out for that bad medicine
Don't reach out for that bad medicine

Try smiling or smile or smile, bad medicine get hold of
Bad medicine get hold of you, wipe away the tears
With the skin from my hide, wipe away the tears
With the skin from my hide

It's funny how people stare
When your back's against the wall
It's funny how people stare
When your back's against the wall

I reach out my hand, I reach out my hand
For that bad medicine, don't you give into
Don't you give into that bad medicine, that bad medicine
Mm, bad medicine, mm, bad medicine"
14,Bangkok rain ,"Black night baby
Past the midnight hour, yeah
All around me, all around me, all around me
Butterfly women singing

No time for trouble
A time of joy
I'm far from home
Don't care no more

Fallin' down
The Bangkok rain keeps fallin' down
Bangkok rain keeps on fallin' down
Bangkok rain keeps on fallin' down
I love that sound

Sittin' in a bar in Bangkok
Waitin' for the rain to stop
All around me, the butterfly women talkin'
Just talkin' and singing

No time for trouble
A time for joy now
I don't care no more
I don't care no more

Fallin' down
The Bangkok rain keeps fallin' down
Bangkok rain keeps on fallin' down
Bangkok rain keeps on fallin' down
Down on the ground, yeah, ow

No time for trouble
It's a time for joy
I don't care no more
I'm too far from home

Fallin' down
Bangkok rain keeps on fallin' down
Bangkok rain keeps on fallin' down
Bangkok rain keeps on fallin' down
Down on the ground, yeah

I'm a free spirit
A travelling man
Round the world I like to lurk
The rain comes down
In a Bangkok town
My heart is in my mouth
Baby, won't you please take me home?
I ain't got nowhere to go
No trouble
Freaky city

Freaky city
Freak city
Freak city

Freak city
Freak city
Freaky city"
15,Be free ,"To be free
Like the birds and the bees, yeah
To be free, sister free, sister free
Like the wind in the trees
You gotta fly if you wanna survive
Don't eat shit if you wanna stay fit

Free yeah
Like the birds and the bees, well
Free
You gotta stay free, free, free

You gotta burn, ooh, sister you gotta learn, yeah
You gotta lie, cheat and lie
Cheat and lie if you wanna survive, whoo
Don't get high if you don't wanna fry
Yeah free, whoo, like Dusty and me

I gotta tell you what it's all about

Free yeah
Like the birds and the bees, well
Free yeah
You gotta stay free, free, freedom

Yeah, freedom
Well, free, freedom

Free
Like the birds and the bees
You gotta fly sister, you gotta fly sister
If you wanna survive

Gotta be free like sweet H and me

Free, yeah
Free

Come on

Come on
Come on
Come on
Get ya

Come on
Come on
Come on
Get it

Come on
Come on
Come on
Come on

Come on
Come on
Come on
Be free"
16,Beauty's on the street ,"I'm myself from the future
Spinnin', fallin' hard onto the floor
Flag my head on a whim
Blood on the universal
Blood on the universal stone

I was too high to notice
The velvet skin
Too high to notice
The velvet skin

Running from myself
My demon's awoken
Running from myself
My demon's awoken

I'm too high to notice
The velvet skin
Too high to notice
The velvet skin

Beauty's on the street, well
Hey, hey, hey, hey
You can never beat us
Never steal a star in lover's eyes, yeah
Beauty's on the street, yeah
Hey, hey, hey, hey
They're never gonna cheat us
Never steal a star in lover's eye, well

They sold you my volitile youth
And then used you all along with

Too high to notice
The velvet skin
Too high to notice
The velvet skin

Beauty's on the street, well
Hey, hey, hey, hey
Never gonna beat us
Never steal a star in lover's eye, well
Beauty's on the street, well
Hey, hey, hey, hey
They're never gonna cheat, cheat, cheat us
Never steal a star in lover's eye

Never steal a star in lover's eye, yeah
Never steal the sex from a lover's thigh

You don't get it
You'll never get it, whoa

Too high to notice
The velvet skin, oh
I'm too high to notice
The velvet skin

Beauty's on the street, yeah
Hey, hey, hey, hey
Yeah, never gonna beat us
Never steal a star in lover's eye
Beauty's on the street, well
Hey, hey, hey, hey
They're never gonna cheat us
Never steal a star in lover's eye, well

Hey, hey, hey, hey

Beauty, beauty, beauty, beauty, beauty, beauty, beauty, beauty, whoa
Beauty on the street, yeah
Never steal a star in lover's eye, well"
17,Big Neon Glitter ,"Oh, drag me back, and drag me back
And drag me back, drag me back, drag me back
Through the revolution, without solution
And the walls get taller
While ye get smaller
While we get smaller
The fear is getting taller

A big neon glitter pushes onto you, oh baby
Sex from the hip at the crack of a whip, oh yeah
The wall gets taller while ye get smaller, yeah
Push against the big neon glitter, pushes onto you
None may indeed go out

Oh, drag me back, drag me back
And drag me back, drag me back, drag me back
Through the revolution, without solution
And the wall gets taller
While ye get smaller
While ye get smaller
The fear is getting taller

Neon glitter onto you, oh baby
Sex from the hip at the crack of a whip, oh yeah
The wall gets taller while ye get smaller, yeah, yeah, yeah
A big neon glitter pushes onto you, oh baby

Yeah

A big neon
A big neon
A big neon glitter
A big neon glitter

A big neon
A big neon
A big neon glitter
A big neon glitter
A big neon glitter"
18,Birds Of Paradise ,"As I am you will be, no fear, my pretty one
As you are I once was, and will be again
Pray to the low god in the filthy haze
Pray to the heathen while chaos reigns
How will you feel when it comes to an end?

I feel like I'm falling
What am I to do with this vision of paradise?
Don't drink the poison
Pure illusion
What am I to do with this vision, these lesser lights?
As I am, as you are
Immortalized, birds of paradise

These children come at you with knives
Gutter born but birds of paradise
Everything is not enough
Then everything becomes too much
How will you feel when it comes to an end?

I feel like I'm falling
What am I to do with these visions of paradise?
Don't drink the poison
It's pure illusion, no
What am I to do with this vision, these lesser lights?
As I am, as you are
Immortalized, in paradise

Everything that you hold
Immortalized, in paradise
And everything that you fought
Immortalized, in paradise
Immortalized, for hypnotised
Turn loose, in paradise
And hold me now
Well, hold me now
Well, come to pass
Immortalized
Birds of paradise
Well, everything
Well, everything
Well, everything"
19,Black angel ,"""Black Angel"" 

A fugitive has been away so long
A thousand years, and now he thinks of home
The long men are waiting in the wings
To put him in chains upon his return
Emptyness, his bitterness is gone
Journey on to the eternal reward

It's a long way to go
A black angel at your side
It's a long way to go
A black angel at your side

The sirens call a sailor to die
Enchanted by the sound, his desires have been found
In his mind, his life is rushing by
All this while, the storm it rages on
He's turning old, he shall never return
Sail on to the eternal reward

It's a long way to go
A black angel at your side
It's a long way to go
With that angel at your side

It's a long way to go
With the reaper at your side
It's a long way to go
A black angel at your side

The fugitive has been away so long
A thousand years, and now he thinks of home
The long men are waiting in the wings
To put him in chains upon his return
Emptyness, his bitterness is gone
Journey on to the eternal reward

Oh, no, never
Oh, no, never
Oh, no, no

It's a long way to go
A black angel at your side
It's a long way to go
With that angel at your side

It's a long way to go
With the reaper at your side
It's a long way to go
With that angel at your side
At your side

It's a long
It's a long, long, long goodbye
It's a long, long, long goodbye"
20,Black California ,"Black California
Crush the innocent mind
Girl, I oughta warn you
My reputation's unkind
But you knew that anyway

Black California
Black California

Change your lives at the speed of light, yeah
Show them fear and they'll show you the knife
Change your lives at the speed of light, yeah
Show them fear and they'll show you the knife

I've been down in dirty black water
Poison feeds the mouth of disorder
(Who pays the devil?)
Obey the law, obey the disorder
(Who pays the devil?)
Obey the law, obey the disorder
(Who pays the devil?)

Black California
(Who pays the devil?)
Crush the innocent mind
(Who pays the devil?)
Who pays the devil?
Who rides the devil?

They change your lives at the speed of light, yeah
Show them fear and they'll show you the knife
Change your lives at the speed of light, yeah
Show them fear and they'll show you the knife

Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
Come on, come on, come on

Black California
Black California

Change your lives at the speed of light, yeah
Show them fear and they'll show you the knife
Change your lives at the speed of light, yeah
Show them fear and they'll show you the knife

Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
Come on, come on, come on now
Come on, come on, come on, my children
And they'll show you the knife"
