,Title,Lyrics
0,(You Need Meet) Don't Get No Further ,"You need meat,
Go to the market.
You need bread,
Try the bakery.
You need lovin',
Look here, baby.
I got just what you need.

I gotta love somebody.
I gotta love somebody.
I gotta love somebody.
Somebody gonna love me.

You need money,
Go to the bank, dear.
You need honey,
Look to the bees.
You need lovin',
Come on here, woman.
Well, I got just what you need.

I wanna love somebody.
I gotta love somebody.
I gotta love somebody.
Somebody gonna love me.

Oh, play it now.

You need meat,
Go to the market.
You need bread,
Try the bakery.
If you need lovin',
Come on here, baby.
Well, I got just what you need.

I wanna love somebody.
Yeah, love somebody.
I gotta love somebody.
Somebody got to love me.

Play your guitar.

You need money,
Go to the bank, dear.
If you need honey,
Go find a bee.
If need lovin',
Well I'm your doctor.
I've got people sick
On what you need.

I gotta love somebody.
Whoa, love.
I wanna love somebody.
Somebody gonna love me."
1,A feast of friends ,"Wow, Im sick of doubt
Live in the light of certain
South
Cruel bindings.
The servants have the power
Dog-men and their mean women
Pulling poor blankets over
Our sailors

Im sick of dour faces
Staring at me from the tv
Tower, I want roses in
My garden bower; dig? 
Royal babies, rubies
Must now replace aborted
Strangers in the mud
These mutants, blood-meal
For the plant thats plowed.

They are waiting to take us into
The severed garden
Do you know how pale and wanton thrillful
Comes death on a strange hour
Unannounced, unplanned for
Like a scaring over-friendly guest youve
Brought to bed
Death makes angels of us all
And gives us wings
Where we had shoulders
Smooth as ravens
Claws

No more money, no more fancy dress
This other kingdom seems by far the best
Until its other jaw reveals incest
And loose obedience to a vegetable law.

I will not go
Prefer a feast of friends
To the giant family"
2,A little game ,"Once I had a little game 
I liked to crawl back in my brain 
I think you know the game I mean 
I mean the game called ""go insane"" 

Now you should try this little game 
Just close your eyes, forget you name 
Forget the world, forget the people 
And we`ll erect a different steeple 

This little game is fun to do 
Just close your eyes, no way to loose 
And I`m right here, I`m going too 
Release control, we`re breaking through "
3,Across The Sea ,"Come, ride with me
Across the sea.
Endlessly.

So happy we will be
Across the sea.
Endlessly.
"
4,Adolf Hitler ,"Adolf Hitler is still alive 
Ooooogh - sssssh 
I slept with her last night 
yeah 
Come out from behind 
that false mustache, Adolf 
I know your’re in there 
ha, ha, ha, ha, ha, ha 
You favor life 
He sides with Death 
I straddle the fence 
And my balls hurt "
5,Alabama Song (Whisky Bar) ,"Well, show me the way 
To the next whisky bar 
Oh, don't ask why 
Oh, don't ask why 

Show me the way 
To the next whisky bar 
Oh, don't ask why 
Oh, don't ask why 

For if we don't find 
The next whisky bar 
I tell you we must die 
I tell you we must die 
I tell you, I tell you 
I tell you we must die 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama 
And must have whisky, oh, you know why 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama 
And must have whisky, oh, you know why 

Well, show me the way 
To the next little girl 
Oh, don't ask why 
Oh, don't ask why 

Show me the way 
To the next little girl 
Oh, don't ask why 
Oh, don't ask why 

For if we don't find 
The next little girl 
I tell you we must die 
I tell you we must die 
I tell you, I tell you 
I tell you we must die 

Oh, moon of Alabama 
We now must say goodbye 
We've lost our good old mama 
And must have whisky, oh, you know why"
6,American night ,"All hail the American night! 
What was that? 
I don't know 
Sounds like guns...thunder. 
(Roadhouse Blues) 
...Alright! Alright! Alright! 
Hey, listen! Listen! Listen, man! listen, man! 
I don't know how many you people believe in astrology... 
Yeah, that's right...that's right, baby, I...I am a 
Sagittarius 
The most philosophical of all the signs 
But anyway, I don't believe in it 
I think it's a bunch of bullshit, myself 
But I tell you this, man, I tell you this 
I don't know what's gonna happen, man, but I wanna have 
my kicks before the whole shithouse goes up in flames 
Alright! "
7,An American Prayer ,"Do you know the warm progress
under the stars?
Do you know we exist?
Have you forgotten the keys
to the kingdom
Have you been borne yet
& are you alive?
Let's reinvent the gods, all teh myths
of the ages
Celebrate symbols from deep elder forests
[Have you forgotten the lessons
of the ancient war]
We need great golden copulations
The fathers are cackling in trees
of the forest
Our mother is dead in the sea
Do you know we are being led to
slaughters by placid admirals
& that fat slow generals are getting
obscene on young blood
Do you know we are ruled by T.V.
The moon is dry blood beast
Guerrilla bands are rolling numbers
in the next block of green vine
amassing for warfare on innocent
herdsman who are just dying
O great creator of being
grant us one more hour to
perform our art
The moths & atheists are doubly divine
& dying
We live, we die
& death not ends it
& perfect our lives
Journey we more into the
Nightmare
Cling to life
Our passion'd flower
Cling to Cunts & cocks
of despair
We got our final vision
by clap
Columbus groin got
filled w/green death
(I touched her thigh
& death smiled)
We have assembled inside this ancient
& insane theatre
To propagate our lust for life
& flee the swarming wisdom
of the streets
The barns are stormed
The windows kept
& only one of all the rest
To dance & save us
W/the divine mockery
of words
Music inflames temperament
(When the true King's murderers
are allowed to roam free
a 1000 Magicians arise in the land)
Where are the feasts
we are promised
Where is the wine
The New Wine
(dying on the vine)
resident mockery
give us an hour for magic
We of the purple glove
We of the starling flight
& velvet hour
We of arabic pleasures's breed
We of sundome & the night
Give us a creed
To believe
A nightr of lust
Give us trust in
The Night
Give of color
hundred hues
a rich mandala
for me & for you
& for your silky
pillowed house
a head, wisdom
& a bed
Troubled decree
Resident mockery
has claimed thee
We used to believe
in the good old days
We still receive
In little ways
The things of Kindness
& unsporting brow
Forget & allow
Did you know freedom exists
in school books
Did you know madmen are
running our prisons
w/in a jail, w/in a gaol
w/in a white free protestant
maelstrom
We're perched headlong
on the edge of boredom
We're reaching for death
on the end of a candle
We're trying for something
that's already found us
Wow, I'm sick of doubt
Live in the light of certain
south
Cruel bindings
The sevants have the power
dog-men & their mean women
pulling poor blankets over
our sailors
I'm sick of dour faces
Starong at me from the T.V.
Tower, I want roses in
my garden bower; dig?
Royal babies, rubies
must now replace aborted
Strangers in the mud
These mutants, blood-meal
for the plant that's plowed
they are waiting to take us into
the severed garden
Do you know how pale & wanton thrillful
comes death on a stranger hour
unannounced, unplanned for
like a scaring over-friendly guest you've
brought to bed
Death makes angels of us all
& gives us wings
where we had shoulders
smooth as raven's
claws
No more money, no more fancy dress
This other kingdom seems by far the best
until its other jaw reveals incest
& loose obedience to a vegetable law
I will not go
Prefer a feast of friends
To the Giant family"
8,Angels and sailors ,"Angels and sailors 
rich girls 
backyard fences 
tents 

Dreams watching each other narrowly 
soft luxuriant cars 
Girls in garages, stripped 
out to get liquor and clothes 
half gallons of wine and six-packs of beer 
Jumped, humped, born to suffer 
made to undress in the wilderness. 

I will never treat you mean 
Never start no kind of scene 
I'll tell you every place and person that I've been. 

Always a playground instructor, never a killer 
Always a bridesmaid on the verge of fame or over 
He maneuvered two girls into his hotel room 
One a friend, the other, the young one, a newer stranger 
Vaguely Mexican or Puerto Rican 
Poor boys thighs and buttock scarred by a father's belt 
She's trying to rise 
Story of her boyfriend, of teenage stoned death games 
Handsome lad, dead in a car 
Confusion 
No connections 
Come 'ere 
I love you 
Peace on earth 
Will you die for me? 
Eat me 
This way 
The end 

I'll always be true 
Never go out, sneaking out on you, babe 
If you'll only show me Far Arden again. 

I'm surprised you could get it up 
He whips her lightly, sardonically, with belt 
Haven't I been through enough? she asks 
Now dressed and leaving 
The Spanish girl begins to bleed 
She says her period 
It' sCatholic heaven 
I have an ancient Indian crucifix around my neck 
My chest is hard and brown 
Lying on stained, wretched sheets with a bleeding virgin 
We could plan a murder 
Or start a religion. "
9,Awake ,"Shake dreams from your hair 
My pretty child 
My sweet one 
Choose the day 
And choose the sign of your day 
The day's divinity 
First thing you see 

A vast radiant beach 
In a cool jeweled moon 
Couples naked race down by it's quiet side 
And we laugh like soft, mad children 
Smug in the wooly cotton brains of infancy 
The music and voices are all around us 
Choose they croon the ancient ones 
Beneath the moon 
Beside an ancient lake 
Enter again the sweet forest 
Enter the hot dream 
Come with us 
Everything is broken up and dances "
10,Awake Ghost Song ,"Awake

Shake dreams from your hair
My pretty child, my sweet one.
Choose the day and choose the sign of your day
The day's divinity
First thing you see

A vast radiant beach in a cool jeweled moon
Couples naked race down by it's quiet side
And we laugh like soft, mad children
Smug in the wooly cotton brains of infancy

The music and voices are all around us

Choose they croon the Ancient Ones
The time has come again
Choose now, they croon
Beneath the moon
Beside an ancient lake
Enter again the sweet forest
Enter the hot dream, come with us
Everything is broken up and dances.

Indians scattered, 
On dawn's highway bleeding 
Ghosts crowd the young child's, 
Fragile eggshell mind 

We have assembled inside, 
This ancient and insane theater 
To propagate our lust for life, 
And flee the swarming wisdom of the streets. 

The barns have stormed 
The windows kept, 
And only one of all the rest 
To dance and save us 
From the divine mockery of words, 
Music inflames temperament. 

Oh great creator of being 
Grant us one more hour, 
To perform our art 
And perfect our lives. 

We need great golden copulations, 

When the true kings murderers 
Are allowed to roam free, 
A thousand magicians arise in the land 
Where are the feast we are promised?"
11,Away In India ,"Away, away, away,
Away in India.
Away, away, away,
Away in India.
"
12,Baby please don't go ,"Baby, please don't go. 
Baby, please don't go. 
Baby, please don't go 
Down to New Orleans 
I'm gonna love you so. 
Baby, please don't go."
13,Babylon fading ,"Then we hear a whistle like a bosun's pipe 
And the carnival immediately begins 
Gradually mixing rain, 
Thunder 
Bullfight 
Football 
Playground 
War 
Penny-arcade 
Babylon Fading..."
14,Back Door Man ,"Wha, yeah! 
C'mon, yeah 
Yeah, c'mon, yeah 
Yeah, c'mon 
Oh, yeah, ma 
Yeah, I'm a back door man 
I'm a back door man 

The men don't know 
But the little girl understand 

Hey, all you people that tryin' to sleep 
I'm out to make it with my midnight dream, yeah 
'Cause I'm a back door man 

The men don't know 
But the little girls understand 
All right, yeah 

You men eat your dinner 
Eat your pork and beans 
I eat more chicken 
Than any man ever seen, yeah, yeah 

I'm a back door man, wha 
The men don't know 
But the little girls understand 

Well, I'm a back door man 
I'm a back door man 
Whoa, baby, I'm a back door man 
The men don't know 
But the little girls understand"
15,Been down so long ,"Well 
I've been down so goddamn long 
That it looks like up to me 
Well 
I've been down so very damn long 
That it looks like up to me 
Yeah 
why don't one you people 
C'mon and set me free 

I said 
Warden 
Warden 
Warden 
Won't you break your lock and key 
I said 
Warden 
Warden 
Warden 
Won't ya break your lock and key 
Yeah 
Come along here 
Mister 
C'mon and let the poor boy be 

Baby 
Baby 
Baby 
Won't you get down on your knees 
Baby 
Baby 
Baby 
Won't you get down on your knees 
C'mon little darlin' 
C'mon and give your love to me 
Oh yeah 

Well 
I've been down so Goddamn long 
That it looks like up to me 
Well 
I've been down so very damn long 
That it looks like up to me 
Yeah 
Why don't one you people 
C'mon 
C'mon 
C'mon and set me free"
16,Bird of Prey ,"Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
In the summer sky 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
gently pass on by 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
am i going to die 
Bird of Prey 
Bird of Prey 
Flying high 
Flying high 
take me on your flight "
